Extra;Data;Especificação;Arrec. Total
9108;17/02/2025;IRRF - PESSOA JURÍDICA;9,37
9108;26/03/2025;IRRF - PESSOA JURÍDICA;9,13
9108;23/04/2025;IRRF - PESSOA JURÍDICA;10,10
9108;19/05/2025;IRRF - PESSOA JURÍDICA;9,36
9108;25/06/2025;IRRF - PESSOA JURÍDICA;9,24
9108;21/07/2025;IRRF - PESSOA JURÍDICA;8,43
9108;21/08/2025;IRRF - PESSOA JURÍDICA;8,16
9108;24/09/2025;IRRF - PESSOA JURÍDICA;7,93
9108;21/10/2025;IRRF - PESSOA JURÍDICA;7,46
9108;28/11/2025;IRRF - PESSOA JURÍDICA;7,68
9108;24/12/2025;IRRF - PESSOA JURÍDICA;8,42
;;;95,28
