Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;710.677,00;1.723.560,33;1.408.552,42;1.408.552,42
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;3.000,00;15.883,33;15.883,33;15.883,33
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;3.000,00;15.883,33;15.883,33;15.883,33
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;3.000,00;15.883,33;15.883,33;15.883,33
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;3.000,00;15.883,33;15.883,33;15.883,33
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;999.000;1.660 0;1.660.04 9999;2.000,00;3.506,91;3.506,91;3.506,91
1321.01.0.1.11;REMUNERAçãO DE DEPóSITOS BANCáRIOS - FMAS;999.000;1.500 0;1.500.00 9999;1.000,00;1.152,93;1.152,93;1.152,93
1321.01.0.1.12;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - ESTADO;999.000;1.661 0;1.661.04 9999;0,00;5.315,39;5.315,39;5.315,39
1321.01.0.1.16;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - EMENDA;999.000;1.660 0;1.660.04 3120;0,00;5.908,10;5.908,10;5.908,10
1700.00.0.0.00;TRANSFERÊNCIAS CORRENTES;;;;707.677,00;1.707.677,00;1.392.669,09;1.392.669,09
1710.00.0.0.00;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;;;;672.677,00;1.672.677,00;1.383.623,04;1.383.623,04
1716.00.0.0.00;TRANSFERÊNCIAS DE RECURSOS DO FUNDO NACIONAL DE ASSISTÊNCIA;;;;672.677,00;1.672.677,00;1.383.623,04;1.383.623,04
1716.50.0.1.00;TRANSFERÊNCIAS DE RECURSOS DO FUNDO NACIONAL DE ASSISTÊNCIA;;;;672.677,00;1.672.677,00;1.383.623,04;1.383.623,04
1716.50.0.1.00;TRANSFERÊNCIAS DE RECURSOS DO FUNDO NACIONAL DE ASSISTÊNCIA;999.000;1.660 0;1.660.04 9999;672.677,00;672.677,00;383.623,04;383.623,04
1716.50.0.1.01;TRANSFERÊNCIAS DE RECURSOS DO FUNDO NACIONAL DE ASSISTÊNCIA;999.000;1.660 3120;1.660.04 3120;0,00;1.000.000,00;1.000.000,00;1.000.000,00
1720.00.0.0.00;TRANSFERÊNCIAS DOS ESTADOS E DO DISTRITO FEDERAL E DE SUAS E;;;;35.000,00;35.000,00;9.046,05;9.046,05
1729.00.0.0.00;OUTRAS TRANSFERÊNCIAS DOS ESTADOS E DISTRITO FEDERAL;;;;35.000,00;35.000,00;9.046,05;9.046,05
1729.51.0.1.00;TRANSFERÊNCIAS DE ESTADOS DESTINADAS À ASSISTÊNCIA SOCIAL -;;;;35.000,00;35.000,00;9.046,05;9.046,05
1729.51.0.1.00;TRANSFERÊNCIAS DE ESTADOS DESTINADAS À ASSISTÊNCIA SOCIAL -;999.000;1.661 0;1.661.04 9999;35.000,00;35.000,00;9.046,05;9.046,05
;;;;;710.677,00;1.723.560,33;1.408.552,42;1.408.552,42
