Extra;Data;Especificação;Arrec. Total
9033;15/01/2024;IRRF;36,42
9033;19/01/2024;IRRF;4,56
9033;19/01/2024;IRRF;5,05
9018;30/01/2024;INSS;158,85
9018;30/01/2024;INSS;136,82
9018;30/01/2024;INSS;169,44
9018;30/01/2024;INSS;370,65
9027;30/01/2024;CONTRIBUIÇÃO SINDICAL;16,24
9087;30/01/2024;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;30/01/2024;PREVIDÊNCIA PRÓPRIA - FMAS;227,33
9027;30/01/2024;CONTRIBUIÇÃO SINDICAL;16,24
9058;30/01/2024;PREVIDÊNCIA PRÓPRIA - FMAS;227,33
9018;29/01/2024;INSS;449,01
9018;29/01/2024;INSS;234,67
9033;14/02/2024;IRRF;39,43
9033;26/01/2024;IRRF;188,17
9033;26/01/2024;IRRF;250,90
9033;26/01/2024;IRRF;225,07
9033;09/02/2024;IRRF;250,90
9033;09/02/2024;IRRF;232,66
9033;09/02/2024;IRRF;204,30
9033;09/02/2024;IRRF;188,17
9033;31/01/2024;IRRF;54,96
9034;31/01/2024;ISS;54,96
9033;26/01/2024;IRRF;258,48
9033;26/01/2024;IRRF;242,16
9033;26/01/2024;IRRF;165,22
9033;26/01/2024;IRRF;161,64
9033;21/02/2024;IRRF;5,16
9033;21/02/2024;IRRF;4,68
9033;26/01/2024;IRRF;174,49
9033;27/02/2024;IRRF;20,91
9033;28/02/2024;IRRF;54,96
9034;28/02/2024;ISS;54,96
9027;28/02/2024;CONTRIBUIÇÃO SINDICAL;32,48
9087;28/02/2024;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;28/02/2024;PREVIDÊNCIA PRÓPRIA - FMAS;454,66
9018;28/02/2024;INSS;518,06
9018;28/02/2024;INSS;711,30
9018;28/02/2024;INSS;660,81
9033;28/02/2024;IRRF;306,17
9018;28/02/2024;INSS;211,80
9018;28/02/2024;INSS;128,77
9033;14/03/2024;IRRF;35,90
9033;21/03/2024;IRRF;5,28
9033;14/03/2024;IRRF;218,54
9033;14/03/2024;IRRF;214,13
9033;14/03/2024;IRRF;210,00
9033;14/03/2024;IRRF;227,11
9034;28/03/2024;ISS;54,96
9033;28/03/2024;IRRF;54,96
9033;21/03/2024;IRRF;4,81
9027;27/03/2024;CONTRIBUIÇÃO SINDICAL;32,48
9087;27/03/2024;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;27/03/2024;PREVIDÊNCIA PRÓPRIA - FMAS;454,66
9018;27/03/2024;INSS;518,06
9018;27/03/2024;INSS;529,50
9018;27/03/2024;INSS;660,81
9033;27/03/2024;IRRF;306,17
9018;27/03/2024;INSS;446,47
9033;15/04/2024;IRRF;33,42
9033;18/04/2024;IRRF;5,04
9033;18/04/2024;IRRF;5,28
9024;20/03/2024;SALÁRIO FAMÍLIA;514,94
9033;30/04/2024;IRRF;54,96
9034;30/04/2024;ISS;54,96
9033;22/04/2024;IRRF;73,10
9018;29/04/2024;INSS;563,06
9018;29/04/2024;INSS;529,50
9027;29/04/2024;CONTRIBUIÇÃO SINDICAL;32,48
9087;29/04/2024;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;29/04/2024;PREVIDÊNCIA PRÓPRIA - FMAS;454,66
9018;29/04/2024;INSS;660,81
9033;29/04/2024;IRRF;306,17
9018;29/04/2024;INSS;446,47
9033;16/05/2024;IRRF;28,67
9024;19/04/2024;SALÁRIO FAMÍLIA;310,20
9075;19/04/2024;SALÁRIO MATERNIDADE_FMAS;1.317,87
9033;20/05/2024;IRRF;5,52
9033;20/05/2024;IRRF;5,28
9033;31/05/2024;IRRF;54,96
9034;31/05/2024;ISS;54,96
9018;29/05/2024;INSS;639,30
9018;29/05/2024;INSS;529,50
9027;29/05/2024;CONTRIBUIÇÃO SINDICAL;32,48
9087;29/05/2024;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;29/05/2024;PREVIDÊNCIA PRÓPRIA - FMAS;454,66
9018;28/05/2024;INSS;446,47
9018;28/05/2024;INSS;660,81
9033;28/05/2024;IRRF;306,17
9033;09/05/2024;IRRF;60,19
9033;17/06/2024;IRRF;30,60
9033;19/06/2024;IRRF;5,52
9033;19/06/2024;IRRF;4,08
9033;28/06/2024;IRRF;54,96
9034;28/06/2024;ISS;54,96
9027;26/06/2024;CONTRIBUIÇÃO SINDICAL;32,48
9087;26/06/2024;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;26/06/2024;PREVIDÊNCIA PRÓPRIA - FMAS;454,66
9018;26/06/2024;INSS;639,30
9018;26/06/2024;INSS;529,50
9018;26/06/2024;INSS;660,81
9033;26/06/2024;IRRF;306,17
9018;26/06/2024;INSS;446,47
9033;10/07/2024;IRRF;234,88
9033;10/07/2024;IRRF;246,97
9033;10/07/2024;IRRF;249,72
9033;10/07/2024;IRRF;187,36
9033;10/07/2024;IRRF;139,90
9033;10/07/2024;IRRF;152,60
9033;17/07/2024;IRRF;29,46
9033;18/07/2024;IRRF;5,76
9033;18/07/2024;IRRF;4,56
9033;31/07/2024;IRRF;54,96
9034;31/07/2024;ISS;54,96
9033;10/07/2024;IRRF;143,48
9033;10/07/2024;IRRF;160,42
9024;19/07/2024;SALÁRIO FAMÍLIA;930,60
9075;19/07/2024;SALÁRIO MATERNIDADE_FMAS;4.236,00
9018;29/07/2024;INSS;639,30
9018;29/07/2024;INSS;529,50
9027;29/07/2024;CONTRIBUIÇÃO SINDICAL;32,48
9087;29/07/2024;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;29/07/2024;PREVIDÊNCIA PRÓPRIA - FMAS;454,66
9018;29/07/2024;INSS;552,37
9018;29/07/2024;INSS;660,81
9033;29/07/2024;IRRF;311,69
9033;21/08/2024;IRRF;5,64
9033;21/08/2024;IRRF;4,58
9033;30/08/2024;IRRF;54,96
9034;30/08/2024;ISS;54,76
9027;28/08/2024;CONTRIBUIÇÃO SINDICAL;32,48
9087;28/08/2024;EMPRESTIMO CONSIGNADO BRADESCO;349,93
9058;28/08/2024;PREVIDÊNCIA PRÓPRIA - FMAS;454,66
9018;28/08/2024;INSS;639,30
9018;28/08/2024;INSS;529,50
9018;30/08/2024;INSS;660,81
9033;30/08/2024;IRRF;311,69
9018;28/08/2024;INSS;552,37
9033;19/08/2024;IRRF;16,72
9033;19/09/2024;IRRF;23,97
9033;20/09/2024;IRRF;5,28
9033;20/09/2024;IRRF;4,80
9033;01/10/2024;IRRF;54,96
9034;01/10/2024;ISS;54,96
9024;20/09/2024;SALÁRIO FAMÍLIA;620,40
9027;26/09/2024;CONTRIBUIÇÃO SINDICAL;32,48
9087;26/09/2024;EMPRESTIMO CONSIGNADO BRADESCO;349,93
9058;26/09/2024;PREVIDÊNCIA PRÓPRIA - FMAS;454,66
9018;26/09/2024;INSS;639,30
9018;26/09/2024;INSS;529,50
9018;26/09/2024;INSS;660,81
9033;26/09/2024;IRRF;311,69
9018;26/09/2024;INSS;552,37
9033;15/10/2024;IRRF;21,93
9033;21/10/2024;IRRF;4,56
9033;21/10/2024;IRRF;4,68
9033;31/10/2024;IRRF;54,96
9034;31/10/2024;ISS;54,96
9027;28/10/2024;CONTRIBUIÇÃO SINDICAL;32,48
9087;28/10/2024;EMPRESTIMO CONSIGNADO BRADESCO;349,93
9058;28/10/2024;PREVIDÊNCIA PRÓPRIA - FMAS;454,66
9018;28/10/2024;INSS;639,30
9018;28/10/2024;INSS;529,50
9018;30/10/2024;INSS;552,37
9018;28/10/2024;INSS;711,64
9033;28/10/2024;IRRF;452,75
9033;19/11/2024;IRRF;4,32
9033;19/11/2024;IRRF;5,16
9033;29/11/2024;IRRF;54,96
9034;29/11/2024;ISS;54,96
9018;27/11/2024;INSS;639,30
9018;27/11/2024;INSS;529,50
9027;27/11/2024;CONTRIBUIÇÃO SINDICAL;32,48
9087;27/11/2024;EMPRESTIMO CONSIGNADO BRADESCO;349,93
9058;27/11/2024;PREVIDÊNCIA PRÓPRIA - FMAS;454,66
9018;27/11/2024;INSS;446,47
9018;27/11/2024;INSS;711,64
9033;27/11/2024;IRRF;452,75
9033;11/12/2024;IRRF;5,04
9033;11/12/2024;IRRF;4,56
9033;18/12/2024;IRRF;1,80
9033;20/12/2024;IRRF;33,70
9018;26/12/2024;INSS;639,30
9018;26/12/2024;INSS;529,50
9027;26/12/2024;CONTRIBUIÇÃO SINDICAL;32,48
9087;26/12/2024;EMPRESTIMO CONSIGNADO BRADESCO;349,93
9058;26/12/2024;PREVIDÊNCIA PRÓPRIA - FMAS;454,66
9018;26/12/2024;INSS;711,64
9033;26/12/2024;IRRF;566,44
9018;26/12/2024;INSS;446,47
9018;16/12/2024;INSS;529,50
9058;16/12/2024;PREVIDÊNCIA PRÓPRIA - FMAS;454,66
9033;27/12/2024;IRRF;54,96
9034;27/12/2024;ISS;54,96
9024;19/12/2024;SALÁRIO FAMÍLIA;930,60
;;;57.616,40
