Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;59.784.049,37;59.966.758,07;55.740.195,75;55.740.195,75
1100.00.0.0.00;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;;;;3.290.666,00;3.290.666,00;2.415.182,95;2.415.182,95
1110.00.0.0.00;IMPOSTOS;;;;3.231.666,00;3.231.666,00;2.373.639,82;2.373.639,82
1112.00.0.0.00;IMPOSTOS SOBRE O PATRIMÔNIO;;;;85.910,00;85.910,00;21.850,53;21.850,53
1112.50.0.1.00;IPTU - PRINCIPAL;;;;69.910,00;69.910,00;17.428,82;17.428,82
1112.50.0.1.00;IPTU - PRINCIPAL;999.000;1.500 0;1.500.00 9999;69.910,00;69.910,00;17.428,82;17.428,82
1112.53.0.1.00;"ITBI-""INTER VIVOS""-PRINCIPAL";;;;16.000,00;16.000,00;4.421,71;4.421,71
1112.53.0.1.00;"ITBI-""INTER VIVOS""-PRINCIPAL";999.000;1.500 0;1.500.00 9999;16.000,00;16.000,00;4.421,71;4.421,71
1113.00.0.0.00;IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;;;;1.656.570,00;1.656.570,00;1.476.831,28;1.476.831,28
1113.03.1.1.00;IRRF-TRABALHO-PRINCIPAL;;;;1.200.000,00;1.200.000,00;1.337.877,42;1.337.877,42
1113.03.1.1.00;IRRF-TRABALHO-PRINCIPAL;999.000;1.500 0;1.500.00 9999;1.200.000,00;1.200.000,00;1.337.877,42;1.337.877,42
1113.03.4.1.00;IRRF- OUTROS RENDIMENTOS-PRINCIPAL;;;;456.570,00;456.570,00;138.953,86;138.953,86
1113.03.4.1.00;IRRF- OUTROS RENDIMENTOS-PRINCIPAL;999.000;1.500 0;1.500.00 9999;456.570,00;456.570,00;138.953,86;138.953,86
1114.00.0.0.00;IMPOSTO PRODUÇÃO CIRCULAÇÃO MERCADORIAS SERVIÇOS;;;;1.489.186,00;1.489.186,00;874.958,01;874.958,01
1114.51.1.1.00;ISSQN - PRINCIPAL;;;;1.489.186,00;1.489.186,00;874.958,01;874.958,01
1114.51.1.1.00;ISSQN - PRINCIPAL;999.000;1.500 0;1.500.00 9999;1.439.186,00;1.439.186,00;797.933,79;797.933,79
1114.51.1.1.01;IMPOSTO SOBRE SERVIçOS DE QUALQUER NATUREZA - SIMPLES;999.000;1.500 0;1.500.00 9999;50.000,00;50.000,00;77.024,22;77.024,22
1120.00.0.0.00;TAXAS;;;;59.000,00;59.000,00;41.543,13;41.543,13
1121.00.0.0.00;TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA;;;;34.000,00;34.000,00;2.870,00;2.870,00
1121.01.0.1.00;TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - PRINCIPAL;;;;32.000,00;32.000,00;2.870,00;2.870,00
