Extra;Data;Especificação;Arrec. Total
9009;31/01/2023;I.R.R.F;311,16
9028;31/01/2023;ISSQN;311,16
9008;30/01/2023;EMPRESTIMO CONSIGNADO CEF;3.546,35
9011;30/01/2023;CONTRIBUIÇÃO SINDICAL - FUNDEB;1.298,46
9079;30/01/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;4.504,65
9009;30/01/2023;I.R.R.F;12.278,44
9055;30/01/2023;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;17.751,15
9008;30/01/2023;EMPRESTIMO CONSIGNADO CEF;2.454,21
9011;30/01/2023;CONTRIBUIÇÃO SINDICAL - FUNDEB;1.109,23
9079;30/01/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;3.859,90
9009;30/01/2023;I.R.R.F;15.380,51
9055;30/01/2023;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;17.440,77
9008;30/01/2023;EMPRESTIMO CONSIGNADO CEF;2.727,32
9011;30/01/2023;CONTRIBUIÇÃO SINDICAL - FUNDEB;367,94
9079;30/01/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;1.170,03
9009;30/01/2023;I.R.R.F;4.403,49
9055;30/01/2023;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;4.972,90
9005;30/01/2023;INSS (FUNDEB 60%);2.450,70
9009;30/01/2023;I.R.R.F;383,83
9008;30/01/2023;EMPRESTIMO CONSIGNADO CEF;1.051,29
9011;30/01/2023;CONTRIBUIÇÃO SINDICAL - FUNDEB;246,86
9009;30/01/2023;I.R.R.F;3.122,87
9055;30/01/2023;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;4.759,31
9008;30/01/2023;EMPRESTIMO CONSIGNADO CEF;1.641,50
9011;30/01/2023;CONTRIBUIÇÃO SINDICAL - FUNDEB;810,79
9079;30/01/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;3.458,63
9009;30/01/2023;I.R.R.F;8.792,00
