Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;616.000,00;616.000,00;266.360,47;266.360,47
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;700,00;700,00;691,63;691,63
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;700,00;700,00;691,63;691,63
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;700,00;700,00;691,63;691,63
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;700,00;700,00;691,63;691,63
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;999.000;1.621 0;1.621.02 9999;700,00;700,00;691,63;691,63
1700.00.0.0.00;TRANSFERÊNCIAS CORRENTES;;;;615.300,00;615.300,00;265.668,84;265.668,84
1720.00.0.0.00;TRANSFERÊNCIAS ESTADOS  DISTRITO FEDERAL E DE SUAS ENTIDADES;;;;615.300,00;615.300,00;265.668,84;265.668,84
1723.00.0.0.00;TRANSFERÊNCIAS RECURSOS SISTEMA ÚNICO SAÚDE – SUS;;;;615.300,00;615.300,00;265.668,84;265.668,84
1723.50.0.1.00;TRANSF.RECURSOS-SUS-PRINCIPAL;;;;615.300,00;615.300,00;265.668,84;265.668,84
1723.50.0.1.00;TRANSF.RECURSOS-SUS-PRINCIPAL;999.000;1.621 0;1.621.02 9999;615.300,00;615.300,00;265.668,84;265.668,84
;;;;;616.000,00;616.000,00;266.360,47;266.360,47
