Extra;Data;Especificação;Arrec. Total
9020;28/01/2025;INSS;173,46
9022;28/01/2025;EMPRESTIMO CONSIGNADO CEF;633,81
9026;28/01/2025;CONTRIBUIÇÃO SINDICAL;238,34
9059;28/01/2025;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.431,22
9083;28/01/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;353,35
9103;28/01/2025;IRRF - PESSOA JURÍDICA;8,53
9022;28/02/2025;EMPRESTIMO CONSIGNADO CEF;633,81
9026;28/02/2025;CONTRIBUIÇÃO SINDICAL;238,34
9083;28/02/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;1.018,98
9059;28/02/2025;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.431,22
9021;28/02/2025;I.R.R.F.;8,53
9020;28/02/2025;INSS;180,23
9020;28/03/2025;INSS;180,23
9022;28/03/2025;EMPRESTIMO CONSIGNADO CEF;633,81
9026;28/03/2025;CONTRIBUIÇÃO SINDICAL;243,63
9083;28/03/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;665,63
9059;28/03/2025;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.540,16
9103;28/03/2025;IRRF - PESSOA JURÍDICA;17,34
9020;29/04/2025;INSS;180,23
9022;29/04/2025;EMPRESTIMO CONSIGNADO CEF;633,81
9026;29/04/2025;CONTRIBUIÇÃO SINDICAL;244,39
9083;29/04/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;1.157,51
9059;29/04/2025;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.550,78
9021;29/04/2025;I.R.R.F.;17,34
9022;30/05/2025;EMPRESTIMO CONSIGNADO CEF;633,81
9026;30/05/2025;CONTRIBUIÇÃO SINDICAL;244,39
9083;30/05/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;1.157,51
9059;30/05/2025;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.550,78
9021;30/05/2025;I.R.R.F.;17,34
9020;30/05/2025;INSS;180,23
9020;30/06/2025;INSS;180,23
9022;30/06/2025;EMPRESTIMO CONSIGNADO CEF;1.033,80
9026;30/06/2025;CONTRIBUIÇÃO SINDICAL;244,39
9083;30/06/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;1.157,51
9059;30/06/2025;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.550,78
9021;30/06/2025;I.R.R.F.;17,34
9020;30/07/2025;INSS;180,23
9022;30/07/2025;EMPRESTIMO CONSIGNADO CEF;1.033,80
9026;30/07/2025;CONTRIBUIÇÃO SINDICAL;244,39
9083;30/07/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;1.157,51
9059;30/07/2025;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.550,78
9021;30/07/2025;I.R.R.F.;17,34
9022;29/08/2025;EMPRESTIMO CONSIGNADO CEF;1.033,80
9026;29/08/2025;CONTRIBUIÇÃO SINDICAL;244,39
9083;29/08/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;1.157,51
9059;29/08/2025;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.550,78
9103;29/08/2025;IRRF - PESSOA JURÍDICA;17,34
9020;29/08/2025;INSS;180,23
9020;26/09/2025;INSS;180,23
9022;26/09/2025;EMPRESTIMO CONSIGNADO CEF;1.033,80
9026;26/09/2025;CONTRIBUIÇÃO SINDICAL;244,39
9083;26/09/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;1.157,51
9059;26/09/2025;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.550,78
9021;26/09/2025;I.R.R.F.;17,34
9022;28/10/2025;EMPRESTIMO CONSIGNADO CEF;1.033,80
9026;28/10/2025;CONTRIBUIÇÃO SINDICAL;244,39
9083;28/10/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;2.261,04
9059;28/10/2025;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.550,78
9021;28/10/2025;I.R.R.F.;17,34
9020;28/10/2025;INSS;180,23
9103;27/11/2025;IRRF - PESSOA JURÍDICA;180,23
9022;27/11/2025;EMPRESTIMO CONSIGNADO CEF;1.033,80
9026;27/11/2025;CONTRIBUIÇÃO SINDICAL;244,39
9083;27/11/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;2.261,04
9059;27/11/2025;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.550,78
9021;27/11/2025;I.R.R.F.;17,34
9020;15/12/2025;INSS;180,23
9059;15/12/2025;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.550,78
9021;15/12/2025;I.R.R.F.;17,34
9022;24/12/2025;EMPRESTIMO CONSIGNADO CEF;1.033,80
9026;24/12/2025;CONTRIBUIÇÃO SINDICAL;244,39
9083;24/12/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;2.261,04
9021;24/12/2025;I.R.R.F.;619,53
9059;24/12/2025;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.550,78
9020;24/12/2025;INSS;180,23
;;;78.148,22
