CÛdigo;EspecificaÁ„o;Cod. AplicaÁ„o;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. PerÌodo;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;21.821.936,00;19.564.140,15;19.578.866,21;19.578.866,21
1100.00.0.0.00;IMPOSTOS, TAXAS E CONTRIBUI«’ES DE MELHORIA;;;;899.807,00;1.552.631,52;1.567.414,25;1.567.414,25
1110.00.0.0.00;IMPOSTOS;;;;854.700,00;1.468.122,60;1.482.905,33;1.482.905,33
1112.00.0.0.00;IMPOSTOS SOBRE O PATRIM‘NIO;;;;29.000,00;24.615,85;28.056,85;28.056,85
1112.50.0.1.00;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - P;;;;17.000,00;13.555,85;16.876,85;16.876,85
1112.50.0.1.00;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - P;999.000;1.500 0;1.500.00 9999;17.000,00;13.555,85;16.876,85;16.876,85
1112.53.0.1.00;"IMPOSTOS SOBRE TRANSMISS√O ""INTER VIVOS"" DE BENS IM”VEIS E D";;;;12.000,00;11.060,00;11.180,00;11.180,00
1112.53.0.1.00;"IMPOSTOS SOBRE TRANSMISS√O ""INTER VIVOS"" DE BENS IM”VEIS E D";999.000;1.500 0;1.500.00 9999;12.000,00;11.060,00;11.180,00;11.180,00
1113.00.0.0.00;IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;;;;512.000,00;1.206.375,76;1.206.382,98;1.206.382,98
1113.03.1.1.00;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIP;;;;512.000,00;1.179.921,92;1.179.921,92;1.179.921,92
1113.03.1.1.00;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIP;999.000;1.500 0;1.500.00 9999;512.000,00;1.179.921,92;1.179.921,92;1.179.921,92
1113.03.4.1.00;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - OUTROS RENDIMENTOS;;;;0,00;26.453,84;26.461,06;26.461,06
1113.03.4.1.00;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - OUTROS RENDIMENTOS;999.000;1.500 0;1.500.00 9999;0,00;26.453,84;26.461,06;26.461,06
1114.00.0.0.00;IMPOSTOS SOBRE A PRODU«√O E CIRCULA«√O DE MERCADORIAS E SERV;;;;313.700,00;237.130,99;248.465,50;248.465,50
1114.51.1.1.00;IMPOSTO SOBRE SERVI«OS DE QUALQUER NATUREZA - ISSQN - PRINCI;;;;313.700,00;237.130,99;248.465,50;248.465,50
