Extra;Data;Especificação;Arrec. Total
9001;30/01/2023;INSS - SEGURADOS;1.434,24
9001;30/01/2023;INSS - SEGURADOS;138,47
9001;30/01/2023;INSS - SEGURADOS;138,47
9001;30/01/2023;INSS - SEGURADOS;138,47
9001;30/01/2023;INSS - SEGURADOS;138,47
9001;30/01/2023;INSS - SEGURADOS;97,65
9001;30/01/2023;INSS - SEGURADOS;351,54
9001;30/01/2023;INSS - SEGURADOS;467,74
9001;30/01/2023;INSS - SEGURADOS;333,77
9001;30/01/2023;INSS - SEGURADOS;629,74
9001;30/01/2023;INSS - SEGURADOS;138,47
9001;30/01/2023;INSS - SEGURADOS;1.015,69
9030;30/01/2023;CONTRIBUIÇÃO SINDICAL;201,80
9029;30/01/2023;EMPRESTIMO BRADESCO;635,85
9054;30/01/2023;PREVIDÊNCIA PRÓPRIA - ADM;2.096,20
9030;30/01/2023;CONTRIBUIÇÃO SINDICAL;49,33
9029;30/01/2023;EMPRESTIMO BRADESCO;190,41
9054;30/01/2023;PREVIDÊNCIA PRÓPRIA - ADM;2.008,71
9030;30/01/2023;CONTRIBUIÇÃO SINDICAL;26,53
9054;30/01/2023;PREVIDÊNCIA PRÓPRIA - ADM;371,46
9054;27/02/2023;PREVIDÊNCIA PRÓPRIA - ADM;4.502,83
9030;27/02/2023;CONTRIBUIÇÃO SINDICAL;279,55
9029;27/02/2023;EMPRESTIMO BRADESCO;826,26
9001;27/02/2023;INSS - SEGURADOS;1.015,69
9001;27/02/2023;INSS - SEGURADOS;138,47
9001;27/02/2023;INSS - SEGURADOS;1.981,08
9001;27/02/2023;INSS - SEGURADOS;629,74
9001;27/02/2023;INSS - SEGURADOS;333,77
9001;27/02/2023;INSS - SEGURADOS;467,74
9001;27/02/2023;INSS - SEGURADOS;138,47
9001;27/02/2023;INSS - SEGURADOS;138,47
9001;27/02/2023;INSS - SEGURADOS;138,47
9030;30/03/2023;CONTRIBUIÇÃO SINDICAL;201,80
9029;30/03/2023;EMPRESTIMO BRADESCO;635,85
9054;30/03/2023;PREVIDÊNCIA PRÓPRIA - ADM;2.096,20
9001;30/03/2023;INSS - SEGURADOS;138,47
9001;30/03/2023;INSS - SEGURADOS;97,65
9001;30/03/2023;INSS - SEGURADOS;615,74
9001;30/03/2023;INSS - SEGURADOS;333,77
9001;30/03/2023;INSS - SEGURADOS;467,74
9001;30/03/2023;INSS - SEGURADOS;1.554,16
9001;30/03/2023;INSS - SEGURADOS;97,65
9001;30/03/2023;INSS - SEGURADOS;138,47
9001;30/03/2023;INSS - SEGURADOS;138,47
9001;30/03/2023;INSS - SEGURADOS;138,47
9001;30/03/2023;INSS - SEGURADOS;138,47
9001;30/03/2023;INSS - SEGURADOS;1.015,69
9030;30/03/2023;CONTRIBUIÇÃO SINDICAL;52,52
9029;30/03/2023;EMPRESTIMO BRADESCO;190,41
9054;30/03/2023;PREVIDÊNCIA PRÓPRIA - ADM;2.053,40
9030;30/03/2023;CONTRIBUIÇÃO SINDICAL;26,53
9054;30/03/2023;PREVIDÊNCIA PRÓPRIA - ADM;371,46
9001;28/04/2023;INSS - SEGURADOS;1.015,69
