Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;1.010.000,00;1.775.346,66;1.805.478,51;1.805.478,51
1200.00.0.0.00;CONTRIBUIÇÕES;;;;790.000,00;1.115.462,15;1.158.311,73;1.158.311,73
1210.00.0.0.00;CONTRIBUIÇÕES SOCIAIS;;;;790.000,00;1.115.462,15;1.158.311,73;1.158.311,73
1215.00.0.0.00;CONTRIBUIÇÕES PARA  REGIMES PRÓPRIOS DE PREVIDÊNCIA E SISTEM;;;;790.000,00;1.115.462,15;1.158.311,73;1.158.311,73
1215.01.1.1.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL ATIVO - PRINCIPAL;;;;650.000,00;975.462,15;1.150.633,77;1.150.633,77
1215.01.1.1.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL ATIVO - PRINCIPAL;999.000;1.800 1111;1.800.03 1111;650.000,00;975.462,15;1.150.633,77;1.150.633,77
1215.01.1.2.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL ATIVO - MULTAS E JUROS DE MOR;;;;10.000,00;10.000,00;0,00;0,00
1215.01.1.2.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL ATIVO - MULTAS E JUROS DE MOR;999.000;1.800 1111;1.800.03 1111;10.000,00;10.000,00;0,00;0,00
1215.01.2.1.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL INATIVO - PRINCIPAL;;;;30.000,00;30.000,00;369,60;369,60
1215.01.2.1.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL INATIVO - PRINCIPAL;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;369,60;369,60
1215.01.2.2.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL INATIVO - MULTAS E JUROS DE M;;;;5.000,00;5.000,00;0,00;0,00
1215.01.2.2.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL INATIVO - MULTAS E JUROS DE M;999.000;1.800 1111;1.800.03 1111;5.000,00;5.000,00;0,00;0,00
1215.01.3.1.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL - PENSIONISTAS - PRINCIPAL;;;;30.000,00;30.000,00;0,00;0,00
1215.01.3.1.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL - PENSIONISTAS - PRINCIPAL;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;0,00;0,00
1215.01.3.2.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL - PENSIONISTAS - MULTAS E JUR;;;;5.000,00;5.000,00;0,00;0,00
1215.01.3.2.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL - PENSIONISTAS - MULTAS E JUR;999.000;1.800 1111;1.800.03 1111;5.000,00;5.000,00;0,00;0,00
1215.03.0.1.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL - PARCELAMENTOS - PRINCIPAL;;;;50.000,00;50.000,00;7.308,36;7.308,36
1215.03.0.1.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL - PARCELAMENTOS - PRINCIPAL;999.000;1.800 1111;1.800.03 1111;50.000,00;50.000,00;7.308,36;7.308,36
1215.03.0.2.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL - PARCELAMENTOS - MULTAS E JU;;;;10.000,00;10.000,00;0,00;0,00
1215.03.0.2.00;CONTRIBUIÇÃO DO SERVIDOR CIVIL - PARCELAMENTOS - MULTAS E JU;999.000;1.800 1111;1.800.03 1111;10.000,00;10.000,00;0,00;0,00
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;150.000,00;589.884,51;647.166,78;647.166,78
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;150.000,00;589.884,51;647.166,78;647.166,78
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;150.000,00;589.884,51;647.166,78;647.166,78
1321.04.0.1.00;REMUNERAÇÃO DOS RECURSOS DO REGIME PRÓPRIO DE PREVIDÊNCIA SO;;;;150.000,00;589.884,51;647.166,78;647.166,78
1321.04.0.1.00;REMUNERAÇÃO DOS RECURSOS DO REGIME PRÓPRIO DE PREVIDÊNCIA SO;999.000;1.800 1111;1.800.03 1111;150.000,00;589.884,51;647.166,78;647.166,78
1900.00.0.0.00;OUTRAS RECEITAS CORRENTES;;;;70.000,00;70.000,00;0,00;0,00
1920.00.0.0.00;INDENIZAÇÕES, RESTITUIÇÕES E RESSARCIMENTOS;;;;40.000,00;40.000,00;0,00;0,00
1922.00.0.0.00;RESTITUIÇÕES;;;;40.000,00;40.000,00;0,00;0,00
1922.99.0.1.00;OUTRAS RESTITUIÇÕES - PRINCIPAL;;;;30.000,00;30.000,00;0,00;0,00
1922.99.0.1.00;OUTRAS RESTITUIÇÕES - PRINCIPAL;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;0,00;0,00
1922.99.0.2.00;OUTRAS RESTITUIÇÕES - MULTAS E JUROS DE MORA;;;;10.000,00;10.000,00;0,00;0,00
1922.99.0.2.00;OUTRAS RESTITUIÇÕES - MULTAS E JUROS DE MORA;999.000;1.800 1111;1.800.03 1111;10.000,00;10.000,00;0,00;0,00
1990.00.0.0.00;DEMAIS RECEITAS CORRENTES;;;;30.000,00;30.000,00;0,00;0,00
1999.00.0.0.00;OUTRAS RECEITAS CORRENTES;;;;30.000,00;30.000,00;0,00;0,00
1999.03.0.1.00;COMPENSAÇÕES FINANCEIRAS ENTRE OS REGIMES DE PREVIDÊNCIA - P;;;;30.000,00;30.000,00;0,00;0,00
1999.03.0.1.00;COMPENSAÇÕES FINANCEIRAS ENTRE OS REGIMES DE PREVIDÊNCIA - P;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;0,00;0,00
7000.00.0.0.00;RECEITAS CORRENTES.;;;;1.315.000,00;1.412.325,66;1.234.604,08;1.234.604,08
7200.00.0.0.00;CONTRIBUIÇÕES;;;;1.265.000,00;1.362.325,66;1.234.604,08;1.234.604,08
7210.00.0.0.00;CONTRIBUIÇÕES SOCIAIS;;;;1.265.000,00;1.362.325,66;1.234.604,08;1.234.604,08
7215.00.0.0.00;CONTRIBUIÇÕES PARA  REGIMES PRÓPRIOS DE PREVIDÊNCIA E SISTEM;;;;1.265.000,00;1.362.325,66;1.234.604,08;1.234.604,08
7215.02.1.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - PRINCIPAL;;;;805.000,00;900.827,14;926.432,09;926.432,09
7215.02.1.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - PRINCIPAL;999.000;1.802 0;1.802.03 9999;295.000,00;390.827,14;218.273,70;218.273,70
7215.02.1.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - PRINCIPAL;999.000;1.800 1111;1.800.03 1111;510.000,00;510.000,00;708.158,39;708.158,39
7215.02.1.2.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - MULTAS E JURO;;;;30.000,00;30.000,00;311,54;311,54
7215.02.1.2.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - MULTAS E JURO;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;311,54;311,54
7215.02.2.1.00;CONTRIBUIÇÃO PATRONAL ORIUNDA DE SENTENÇAS JUDICIAIS - SERVI;;;;30.000,00;30.000,00;0,00;0,00
7215.02.2.1.00;CONTRIBUIÇÃO PATRONAL ORIUNDA DE SENTENÇAS JUDICIAIS - SERVI;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;0,00;0,00
7215.02.2.2.00;CONTRIBUIÇÃO PATRONAL ORIUNDA DE SENTENÇAS JUDICIAIS - SERVI;;;;5.000,00;5.000,00;0,00;0,00
7215.02.2.2.00;CONTRIBUIÇÃO PATRONAL ORIUNDA DE SENTENÇAS JUDICIAIS - SERVI;999.000;1.800 1111;1.800.03 1111;5.000,00;5.000,00;0,00;0,00
7215.50.1.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL - INATIVO - PRINCIPAL;;;;75.000,00;76.498,52;225.693,00;225.693,00
7215.50.1.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL - INATIVO - PRINCIPAL;999.000;1.802 0;1.802.03 9999;45.000,00;45.000,00;0,00;0,00
7215.50.1.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL - INATIVO - PRINCIPAL;999.000;1.800 1111;1.800.03 1111;30.000,00;31.498,52;225.693,00;225.693,00
7215.50.1.2.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL - INATIVO - MULTAS E;;;;15.000,00;15.000,00;0,00;0,00
7215.50.1.2.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL - INATIVO - MULTAS E;999.000;1.800 1111;1.800.03 1111;15.000,00;15.000,00;0,00;0,00
7215.50.2.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL - PENSIONISTAS - PRIN;;;;75.000,00;75.000,00;0,00;0,00
7215.50.2.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL - PENSIONISTAS - PRIN;999.000;1.802 0;1.802.03 9999;45.000,00;45.000,00;0,00;0,00
7215.50.2.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL - PENSIONISTAS - PRIN;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;0,00;0,00
7215.50.2.2.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL - PENSIONISTAS - MULT;;;;30.000,00;30.000,00;0,00;0,00
