Extra;Data;Especificação;Arrec. Total
9085;25/01/2023;SISEMPEM;19,24
9068;25/01/2023;IRRF_FUNDO PREVIDENCIA;9.209,38
9085;28/02/2023;SISEMPEM;19,24
9068;28/02/2023;IRRF_FUNDO PREVIDENCIA;9.209,38
9085;24/03/2023;SISEMPEM;22,10
9068;24/03/2023;IRRF_FUNDO PREVIDENCIA;12.331,00
9085;18/04/2023;SISEMPEM;22,10
9068;18/04/2023;IRRF_FUNDO PREVIDENCIA;12.331,00
9085;24/05/2023;SISEMPEM;22,10
9068;24/05/2023;IRRF_FUNDO PREVIDENCIA;13.654,74
9068;24/05/2023;IRRF_FUNDO PREVIDENCIA;1.095,04
9085;23/06/2023;SISEMPEM;22,10
9068;23/06/2023;IRRF_FUNDO PREVIDENCIA;13.372,70
9068;23/06/2023;IRRF_FUNDO PREVIDENCIA;435,04
9085;27/07/2023;SISEMPEM;22,10
9068;27/07/2023;IRRF_FUNDO PREVIDENCIA;13.783,94
9068;27/07/2023;IRRF_FUNDO PREVIDENCIA;435,04
9068;24/08/2023;IRRF_FUNDO PREVIDENCIA;435,04
9085;24/08/2023;SISEMPEM;22,10
9068;24/08/2023;IRRF_FUNDO PREVIDENCIA;13.783,94
9068;18/09/2023;IRRF_FUNDO PREVIDENCIA;13.783,94
9085;18/09/2023;SISEMPEM;22,10
9068;18/09/2023;IRRF_FUNDO PREVIDENCIA;435,04
9085;25/10/2023;SISEMPEM;22,10
9068;25/10/2023;IRRF_FUNDO PREVIDENCIA;14.238,70
9068;25/10/2023;IRRF_FUNDO PREVIDENCIA;435,04
9085;27/11/2023;SISEMPEM;22,10
9068;27/11/2023;IRRF_FUNDO PREVIDENCIA;15.631,28
9068;27/11/2023;IRRF_FUNDO PREVIDENCIA;435,04
9068;19/12/2023;IRRF_FUNDO PREVIDENCIA;12.590,35
9085;20/12/2023;SISEMPEM;22,10
9068;20/12/2023;IRRF_FUNDO PREVIDENCIA;17.006,37
9068;21/12/2023;IRRF_FUNDO PREVIDENCIA;109,60
9068;29/12/2023;IRRF_FUNDO PREVIDENCIA;435,04
;;;175.436,12
