Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;7.018.766,87;7.018.766,87;6.888.335,89;6.888.335,89
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;266.316,87;266.316,87;74.176,77;74.176,77
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;266.316,87;266.316,87;74.176,77;74.176,77
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;266.316,87;266.316,87;74.176,77;74.176,77
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;266.316,87;266.316,87;74.176,77;74.176,77
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;999.000;1.600 0;1.600.02 9999;150.000,00;150.000,00;40.387,73;40.387,73
1321.01.0.1.09;REMUNERAçãO DE DEPóSITOS BANCáRIOS - FUS;300.000;1.500 1002;1.500.00 9999;14.000,00;14.000,00;9.381,44;9.381,44
1321.01.0.1.10;REMUNERAçãO DE DEPóSITOS BANCáRIOS - SAÚDE ESTADO;999.000;1.621 0;1.621.02 9999;25.000,00;25.000,00;1.670,35;1.670,35
1321.01.0.1.14;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - INVESTIMENTO;999.000;1.601 0;1.601.02 9999;27.500,00;27.500,00;4.323,00;4.323,00
1321.01.0.1.17;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PISO ENFERMAGEM;999.000;1.605 0;1.605.02 9999;2.000,00;2.000,00;7.604,64;7.604,64
1321.01.0.1.18;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - CONV SAÚDE ESTADO;999.000;1.632 0;1.632.02 9999;47.816,87;47.816,87;0,00;0,00
1321.01.0.1.20;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - EMENDA BANCADA;999.000;1.600 3120;1.600.02 3120;0,00;0,00;5.952,97;5.952,97
1321.01.0.1.22;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - EMENDA COMISSÃO;999.000;1.600 3130;1.600.02 3130;0,00;0,00;4.856,35;4.856,35
1321.01.0.1.23;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - EMENDA INDIVIDUAL;999.000;1.600 3110;1.600.02 7000;0,00;0,00;0,29;0,29
1700.00.0.0.00;TRANSFERÊNCIAS CORRENTES;;;;6.752.450,00;6.752.450,00;6.814.159,12;6.814.159,12
1710.00.0.0.00;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;;;;6.152.450,00;6.152.450,00;6.543.514,38;6.543.514,38
1713.00.0.0.00;TRANSFERÊNCIAS RECURSOS SISTEMA ÚNICO SAÚDE – SUS ;;;;6.152.450,00;6.152.450,00;6.543.514,38;6.543.514,38
1713.50.1.1.00;TRANS.SUS-BLOCO MANUT.ATEN.PRIMÁRIA-PRINCIPAL;;;;5.398.000,00;4.900.000,00;5.820.884,21;5.820.884,21
1713.50.1.1.00;TRANS.SUS-BLOCO MANUT.ATEN.PRIMÁRIA-PRINCIPAL;999.000;1.600 0;1.600.02 9999;4.000.000,00;4.000.000,00;2.736.592,21;2.736.592,21
1713.50.1.1.02;TRANSF. DE RECURSOS DO BL. DE MANUT. DA ATENÇÃO BÁSICA - ACS;999.000;1.604 0;1.604.02 9999;900.000,00;900.000,00;749.892,00;749.892,00
1713.50.1.1.03;COMPLEMENTO UNIÃO - PISO ENFERMAGEM;999.000;1.605 0;1.605.02 9999;498.000,00;0,00;0,00;0,00
1713.50.1.1.04;TRANS.SUS-BLOCO MANUT.ATEN.PRIMÁRIA-EMENDA INDIVIDUAL;999.000;1.600 3110;1.600.02 7000;0,00;0,00;700.000,00;700.000,00
1713.50.1.1.05;TRANS.SUS-BLOCO MANUT.ATEN.PRIMÁRIA-EMENDA BANCADA;999.000;1.600 3120;1.600.02 3120;0,00;0,00;684.400,00;684.400,00
1713.50.1.1.06;TRANS.SUS-BLOCO MANUT.ATEN.PRIMÁRIA-PRINCIPAL DE COMISSÃO;999.000;1.600 3130;1.600.02 3130;0,00;0,00;950.000,00;950.000,00
1713.50.3.1.00;TRANS.SUS-BLOCO MANUT-VIGILÂNCIA SAÚDE-PRINCIPAL;;;;252.500,00;252.500,00;169.782,53;169.782,53
1713.50.3.1.00;TRANS.SUS-BLOCO MANUT-VIGILÂNCIA SAÚDE-PRINCIPAL;999.000;1.600 0;1.600.02 9999;152.500,00;152.500,00;51.378,53;51.378,53
1713.50.3.1.01;TRANS.SUS-BLOCO MANUT-VIGILÂNCIA SAÚDE- AG. ENDEMIAS;999.000;1.604 0;1.604.02 9999;100.000,00;100.000,00;118.404,00;118.404,00
1713.50.4.1.00;TRANS.SUS- BLOCO MANUT.-ASSIST.FARMAC.-PRINCIPAL;;;;151.950,00;151.950,00;80.162,40;80.162,40
1713.50.4.1.00;TRANS.SUS- BLOCO MANUT.-ASSIST.FARMAC.-PRINCIPAL;999.000;1.600 0;1.600.02 9999;151.950,00;151.950,00;80.162,40;80.162,40
1713.50.5.1.00;TRANS.SUS- BLOCO MANUT.-GESTÃO SUS-PRINCIPAL;;;;0,00;498.000,00;472.685,24;472.685,24
1713.50.5.1.00;TRANS.SUS- BLOCO MANUT.-GESTÃO SUS-PRINCIPAL;999.000;1.605 0;1.605.02 9999;0,00;498.000,00;472.685,24;472.685,24
1713.50.9.1.00;TRANS.SUS-BLOCO MANUT.-OUTROS PROGR.-PRINCIPAL;;;;350.000,00;350.000,00;0,00;0,00
