Extra;Data;Especificação;Arrec. Total
9105;20/01/2025;IRRF - PESSOA JURÍDICA;50,96
9105;16/01/2025;IRRF - PESSOA JURÍDICA;43,66
9105;16/01/2025;IRRF - PESSOA JURÍDICA;52,11
9052;30/01/2025;EMPRESTIMO CONSIGNADO CEF;1.052,79
9025;30/01/2025;CONTRIBUIÇÃO SINDICAL;81,77
9080;30/01/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;942,48
9003;30/01/2025;IRRF;723,03
9057;30/01/2025;PREVIDÊNCIA PRÓPRIA - FMS;2.827,59
9014;30/01/2025;INSS SAÚDE;5.778,39
9003;30/01/2025;IRRF;3.274,98
9014;30/01/2025;INSS SAÚDE;3.424,98
9003;30/01/2025;IRRF;2.744,07
9014;28/01/2025;INSS SAÚDE;313,66
9003;28/01/2025;IRRF;59,17
9052;28/01/2025;EMPRESTIMO CONSIGNADO CEF;833,29
9025;28/01/2025;CONTRIBUIÇÃO SINDICAL;451,36
9046;28/01/2025;SINDICATO ACS;546,48
9017;28/01/2025;PENSÃO ALIMENTÍCIA;254,16
9080;28/01/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;3.001,01
9003;28/01/2025;IRRF;3.175,77
9057;28/01/2025;PREVIDÊNCIA PRÓPRIA - FMS;9.223,42
9025;28/01/2025;CONTRIBUIÇÃO SINDICAL;179,16
9080;28/01/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;453,59
9003;28/01/2025;IRRF;4.834,81
9057;28/01/2025;PREVIDÊNCIA PRÓPRIA - FMS;5.348,93
9025;28/01/2025;CONTRIBUIÇÃO SINDICAL;44,33
9003;28/01/2025;IRRF;449,39
9057;28/01/2025;PREVIDÊNCIA PRÓPRIA - FMS;920,16
9025;28/01/2025;CONTRIBUIÇÃO SINDICAL;74,36
9080;28/01/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;207,89
9003;28/01/2025;IRRF;305,52
9057;28/01/2025;PREVIDÊNCIA PRÓPRIA - FMS;1.548,40
9052;28/01/2025;EMPRESTIMO CONSIGNADO CEF;1.631,72
9046;28/01/2025;SINDICATO ACS;91,08
9080;28/01/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;376,95
9003;28/01/2025;IRRF;566,31
9057;28/01/2025;PREVIDÊNCIA PRÓPRIA - FMS;1.466,40
9003;29/01/2025;IRRF;113,08
9057;29/01/2025;PREVIDÊNCIA PRÓPRIA - FMS;211,22
9014;29/01/2025;INSS SAÚDE;2.135,26
9003;29/01/2025;IRRF;1.575,20
9105;10/02/2025;IRRF - PESSOA JURÍDICA;117,24
9003;29/01/2025;IRRF;726,87
9057;29/01/2025;PREVIDÊNCIA PRÓPRIA - FMS;1.608,64
9105;19/02/2025;IRRF - PESSOA JURÍDICA;81,60
9105;19/02/2025;IRRF - PESSOA JURÍDICA;174,07
9105;20/02/2025;IRRF - PESSOA JURÍDICA;128,35
9105;20/02/2025;IRRF - PESSOA JURÍDICA;74,07
9105;20/02/2025;IRRF - PESSOA JURÍDICA;67,54
9105;21/02/2025;IRRF - PESSOA JURÍDICA;11,13
9105;21/02/2025;IRRF - PESSOA JURÍDICA;12,06
9014;28/02/2025;INSS SAÚDE;5.982,40
9003;28/02/2025;IRRF;3.439,83
9052;28/02/2025;EMPRESTIMO CONSIGNADO CEF;1.052,79
9025;28/02/2025;CONTRIBUIÇÃO SINDICAL;81,77
9080;28/02/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;942,48
9003;28/02/2025;IRRF;723,03
9057;28/02/2025;PREVIDÊNCIA PRÓPRIA - FMS;2.827,59
9052;27/02/2025;EMPRESTIMO CONSIGNADO CEF;833,29
9025;27/02/2025;CONTRIBUIÇÃO SINDICAL;451,07
9046;27/02/2025;SINDICATO ACS;546,48
9017;27/02/2025;PENSÃO ALIMENTÍCIA;283,24
9080;27/02/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;3.130,42
9003;27/02/2025;IRRF;5.239,49
9057;27/02/2025;PREVIDÊNCIA PRÓPRIA - FMS;9.223,42
9025;27/02/2025;CONTRIBUIÇÃO SINDICAL;179,16
9080;27/02/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;453,59
9003;27/02/2025;IRRF;6.394,10
9057;27/02/2025;PREVIDÊNCIA PRÓPRIA - FMS;5.348,93
9025;27/02/2025;CONTRIBUIÇÃO SINDICAL;44,33
9003;27/02/2025;IRRF;1.438,07
9057;27/02/2025;PREVIDÊNCIA PRÓPRIA - FMS;920,16
9025;27/02/2025;CONTRIBUIÇÃO SINDICAL;74,36
9080;27/02/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;207,89
9003;27/02/2025;IRRF;440,52
9057;27/02/2025;PREVIDÊNCIA PRÓPRIA - FMS;1.548,40
9014;27/02/2025;INSS SAÚDE;3.984,31
9003;27/02/2025;IRRF;3.346,36
9014;27/02/2025;INSS SAÚDE;330,58
9003;27/02/2025;IRRF;164,69
9052;27/02/2025;EMPRESTIMO CONSIGNADO CEF;1.631,72
9046;27/02/2025;SINDICATO ACS;91,08
9080;27/02/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;376,95
9003;27/02/2025;IRRF;566,31
9057;27/02/2025;PREVIDÊNCIA PRÓPRIA - FMS;1.466,40
9003;28/02/2025;IRRF;971,61
9057;28/02/2025;PREVIDÊNCIA PRÓPRIA - FMS;1.608,27
9003;28/02/2025;IRRF;112,48
9057;28/02/2025;PREVIDÊNCIA PRÓPRIA - FMS;210,66
9014;28/02/2025;INSS SAÚDE;2.160,21
9003;28/02/2025;IRRF;1.652,53
9105;10/03/2025;IRRF - PESSOA JURÍDICA;154,08
9105;13/03/2025;IRRF - PESSOA JURÍDICA;12,42
9105;13/03/2025;IRRF - PESSOA JURÍDICA;12,42
9105;13/03/2025;IRRF - PESSOA JURÍDICA;12,42
9105;13/03/2025;IRRF - PESSOA JURÍDICA;106,43
9105;13/03/2025;IRRF - PESSOA JURÍDICA;104,18
9105;13/03/2025;IRRF - PESSOA JURÍDICA;109,27
9105;13/03/2025;IRRF - PESSOA JURÍDICA;112,13
9105;13/03/2025;IRRF - PESSOA JURÍDICA;117,36
9105;13/03/2025;IRRF - PESSOA JURÍDICA;108,98
9105;13/03/2025;IRRF - PESSOA JURÍDICA;105,22
9105;13/03/2025;IRRF - PESSOA JURÍDICA;45,49
9105;13/03/2025;IRRF - PESSOA JURÍDICA;45,49
