Nome Empresa;Código;Denominação;Natureza;Nome Natureza;Ref. salarial inicial (Plano de Cargos);Providos;Cargos<br>Vagos;Total;Providos;Empregos<br>Vagos;Total;Providos;Comissão<br>Vagos;Total;Providos;Contratos<br>Vagos;Total
PREFEITURA MUNICIPAL DE PADRE MARCOS;0001;PROFESSOR SL 20H;1;Efetivo;2652,93;13;-13;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0002;TECNICO PROTESE DENTARIA;3;Temporário;3000;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0003;ASSISTENTE ADMINISTRATIVO;1;Efetivo;3242;1;-1;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0004;PROFESSOR SL 40H;1;Efetivo;5305,87;12;-12;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0005;COORD. PROG. CRIANÇA FELIZ;3;Temporário;1621;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0006;PREFEITO;9;Outros;13500;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0007;VICE PREFEITO;9;Outros;6750;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0008;SECRETARIO MUNICICIPAL DE GOVERNO;2;Comissão;1755,6;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0009;ASSESSOR(A) DE COMUNICAÇÃO INSTITUCIONAL ESCOLAR;2;Comissão;1621;0;0;0;0;0;0;11;-11;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0010;ASSESSOR ESPECIAL;2;Comissão;1621;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0011;CONTROLADOR GERAL;3;Temporário;3242;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0012;SECRETARIO (A);2;Comissão;2255,6;0;0;0;0;0;0;2;-2;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0013;GARI;1;Efetivo;1621;13;-13;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0014;VIGILANTE;1;Efetivo;1621;7;-7;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0015;AUXILIAR DE JSM;3;Temporário;1621;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0016;MOTORISTA;1;Efetivo;1621;5;-5;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0017;MONITOR / VISITADOR DO CRIANÇA FELIZ;3;Temporário;1621;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0018;COZINHEIRO (A);1;Efetivo;1621;3;-3;0;1;-1;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0019;TECNICO EM ENFERMAGEM;1;Efetivo;1621;7;-7;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0020;AUX. DE SERV. GERAIS;1;Efetivo;1621;29;-29;0;1;-1;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0021;ASSISTENTE SOCIAL;1;Efetivo;3000;1;-1;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0022;PROFESSOR SE 40H;1;Efetivo;3986,24;27;-27;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0023;PROFESSOR SE 20H;1;Efetivo;2652,93;2;-2;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0024;DIRETOR HOSPITAL;2;Comissão;3400;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0025;CONSELHEIRO TUTELAR;7;Conselheiro;1621;1;-1;0;0;0;0;0;0;0;4;-4;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0026;TECNICO DE CONTROLE INTERNO DE NIVEL I;1;Efetivo;3242;0;0;0;1;-1;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0027;AG. COMUNITARIO DE SAÚDE;1;Efetivo;3242;18;-18;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0028;PSICOLOGO;1;Efetivo;2000;1;-1;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0029;DIGITADOR(A);1;Efetivo;1621;1;-1;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0030;AUXILIAR DE ENFERMAGEM;1;Efetivo;1621;1;-1;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0031;ENGENHEIRO(A) CIVIL;3;Temporário;4950;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0032;AUX. ADMINISTRATIVO;1;Efetivo;3242;3;-3;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0033;FARMACÊUTICA ( O );3;Temporário;2500;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0034;PROFESSOR SL 40H - CELETISTA;3;Temporário;3986,24;0;0;0;0;0;0;0;0;0;37;-37;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0035;AG. DE HIGIENE E SEGURANÇA;1;Efetivo;3242;3;-3;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0036;COZINHEIRA;1;Efetivo;1621;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0037;PROFESSOR SL 20H - CELETISTA;3;Temporário;2652,93;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0038;COZINHEIRA(O) - SELETISTA;3;Temporário;1621;0;0;0;0;0;0;0;0;0;0;0;0
