Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;244.000,00;244.000,00;60.876,23;60.876,23
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;0,00;0,00;2.123,49;2.123,49
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;0,00;0,00;2.123,49;2.123,49
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;0,00;0,00;2.123,49;2.123,49
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;0,00;0,00;2.123,49;2.123,49
1321.01.0.1.15;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - DEMAIS SETORES CULTURA;999.000;1.716 0;1.716.05 9999;0,00;0,00;6,16;6,16
1321.01.0.1.16;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - AUDIOVISUAL CULTURA;999.000;1.715 0;1.715.05 9999;0,00;0,00;120,26;120,26
1321.01.0.1.18;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - LEI ALDIR BLANC;999.000;1.719 0;1.719.05 9999;0,00;0,00;1.997,07;1.997,07
1700.00.0.0.00;TRANSFERÊNCIAS CORRENTES;;;;244.000,00;244.000,00;58.752,74;58.752,74
1710.00.0.0.00;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;;;;244.000,00;244.000,00;58.752,74;58.752,74
1719.00.0.0.00;OUTRAS TRANSFERÊNCIAS RECURSOS UNIÃO E DE SUAS ENTIDADES;;;;244.000,00;244.000,00;58.752,74;58.752,74
1719.99.0.1.00;OUTRAS TRANSF.RECUR.UNIÃO ENTID.-PRINCIPAL;;;;244.000,00;244.000,00;58.752,74;58.752,74
1719.99.0.1.01;OUTRAS TRANSFERÊNCIAS DE RECURSOS DA UNIÃO;999.000;1.715 0;1.715.05 9999;32.000,00;32.000,00;0,00;0,00
1719.99.0.1.02;OUTRAS TRANSFERÊNCIAS DE RECURSOS DA UNIÃO;999.000;1.716 0;1.716.05 9999;32.000,00;32.000,00;0,00;0,00
1719.99.0.1.03;OUTRAS TRANSFERÊNCIAS DE RECURSOS DA UNIÃO;999.000;1.719 0;1.719.05 9999;180.000,00;180.000,00;58.752,74;58.752,74
;;;;;244.000,00;244.000,00;60.876,23;60.876,23
