Extra;Data;Especificação;Arrec. Total
9069;19/01/2024;IMPOSTO DE RENDA_FMDCA;10,80
9069;21/02/2024;IMPOSTO DE RENDA_FMDCA;11,40
9069;21/03/2024;IMPOSTO DE RENDA_FMDCA;9,84
9069;18/04/2024;IMPOSTO DE RENDA_FMDCA;9,36
9069;20/05/2024;IMPOSTO DE RENDA_FMDCA;9,12
9069;20/06/2024;IMPOSTO DE RENDA_FMDCA;10,09
9069;18/07/2024;IMPOSTO DE RENDA_FMDCA;12,48
9069;21/08/2024;IMPOSTO DE RENDA_FMDCA;12,72
9069;20/09/2024;IMPOSTO DE RENDA_FMDCA;10,08
9069;21/10/2024;IMPOSTO DE RENDA_FMDCA;9,36
9069;19/11/2024;IMPOSTO DE RENDA_FMDCA;8,88
9069;11/12/2024;IMPOSTO DE RENDA_FMDCA;11,28
;;;125,41
