Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;935.677,00;935.677,00;773.254,99;773.254,99
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;37.800,00;37.800,00;6.933,83;6.933,83
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;37.800,00;37.800,00;6.933,83;6.933,83
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;37.800,00;37.800,00;6.933,83;6.933,83
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;37.800,00;37.800,00;6.933,83;6.933,83
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;999.000;1.660 0;1.660.04 9999;25.500,00;25.500,00;4.616,50;4.616,50
1321.01.0.1.11;REMUNERAçãO DE DEPóSITOS BANCáRIOS - FMAS;999.000;1.500 0;1.500.00 9999;11.300,00;11.300,00;1.512,11;1.512,11
1321.01.0.1.12;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - ESTADO;999.000;1.661 0;1.661.04 9999;1.000,00;1.000,00;805,22;805,22
1700.00.0.0.00;TRANSFERÊNCIAS CORRENTES;;;;897.877,00;897.877,00;766.321,16;766.321,16
1710.00.0.0.00;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;;;;862.877,00;862.877,00;721.321,16;721.321,16
1716.00.0.0.00;TRANSF.RECURSOS FUNDO NACIONAL ASSISTÊNCIA SOCIAL-FNAS;;;;862.877,00;862.877,00;721.321,16;721.321,16
1716.50.0.1.00;TRANSF.RECUR.-FNAS-PRINCIPAL;;;;862.877,00;862.877,00;721.321,16;721.321,16
1716.50.0.1.00;TRANSF.RECUR.-FNAS-PRINCIPAL;999.000;1.660 0;1.660.04 9999;862.877,00;862.877,00;721.321,16;721.321,16
1720.00.0.0.00;TRANSFERÊNCIAS ESTADOS  DISTRITO FEDERAL E DE SUAS ENTIDADES;;;;35.000,00;35.000,00;45.000,00;45.000,00
1729.00.0.0.00;OUTRAS TRANSFERÊNCIAS DOS ESTADOS E DISTRITO FEDERAL;;;;35.000,00;35.000,00;45.000,00;45.000,00
1729.51.0.1.00;TRANSF.ESTADOS  ASSIST.SOCIAL-PRINCIPAL;;;;35.000,00;35.000,00;45.000,00;45.000,00
1729.51.0.1.00;TRANSF.ESTADOS  ASSIST.SOCIAL-PRINCIPAL;999.000;1.661 0;1.661.04 9999;35.000,00;35.000,00;45.000,00;45.000,00
;;;;;935.677,00;935.677,00;773.254,99;773.254,99
