Extra;Data;Especificação;Arrec. Total
9018;30/01/2023;INSS;121,08
9033;30/01/2023;IRRF;275,17
9034;31/01/2023;ISS;54,96
9033;31/01/2023;IRRF;54,96
9018;30/01/2023;INSS;314,04
9033;28/02/2023;IRRF;54,96
9034;28/02/2023;ISS;54,96
9027;30/01/2023;CONTRIBUIÇÃO SINDICAL;14,97
9058;30/01/2023;PREVIDÊNCIA PRÓPRIA - FMAS;209,62
9087;30/01/2023;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9027;30/01/2023;CONTRIBUIÇÃO SINDICAL;14,97
9058;30/01/2023;PREVIDÊNCIA PRÓPRIA - FMAS;209,62
9018;30/01/2023;INSS;138,47
9018;30/01/2023;INSS;97,65
9018;30/01/2023;INSS;488,25
9024;20/01/2023;SALÁRIO FAMÍLIA;338,82
9058;27/02/2023;PREVIDÊNCIA PRÓPRIA - FMAS;419,24
9027;27/02/2023;CONTRIBUIÇÃO SINDICAL;29,94
9087;27/02/2023;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9018;27/02/2023;INSS;392,36
9018;27/02/2023;INSS;488,25
9018;27/02/2023;INSS;121,08
9033;27/02/2023;IRRF;275,17
9018;27/02/2023;INSS;314,04
9033;31/03/2023;IRRF;54,96
9034;31/03/2023;ISS;54,96
9027;29/03/2023;CONTRIBUIÇÃO SINDICAL;14,97
9087;29/03/2023;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;29/03/2023;PREVIDÊNCIA PRÓPRIA - FMAS;209,62
9027;29/03/2023;CONTRIBUIÇÃO SINDICAL;14,97
9058;29/03/2023;PREVIDÊNCIA PRÓPRIA - FMAS;209,62
9018;29/03/2023;INSS;138,47
9018;29/03/2023;INSS;253,89
9018;29/03/2023;INSS;488,25
9018;29/03/2023;INSS;700,46
9033;29/03/2023;IRRF;275,17
9018;29/03/2023;INSS;518,16
9033;28/04/2023;IRRF;54,96
9034;28/04/2023;ISS;54,96
9027;28/04/2023;CONTRIBUIÇÃO SINDICAL;14,97
9087;28/04/2023;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;28/04/2023;PREVIDÊNCIA PRÓPRIA - FMAS;209,62
9027;28/04/2023;CONTRIBUIÇÃO SINDICAL;14,97
9058;28/04/2023;PREVIDÊNCIA PRÓPRIA - FMAS;209,62
9018;28/04/2023;INSS;138,47
9018;28/04/2023;INSS;351,54
9018;28/04/2023;INSS;488,25
9018;28/04/2023;INSS;535,80
9018;27/04/2023;INSS;706,98
9033;27/04/2023;IRRF;275,17
9024;19/04/2023;SALÁRIO FAMÍLIA;368,67
9033;31/05/2023;IRRF;54,96
9034;31/05/2023;ISS;54,96
9018;29/05/2023;INSS;138,20
9018;29/05/2023;INSS;356,40
9018;29/05/2023;INSS;495,00
9027;29/05/2023;CONTRIBUIÇÃO SINDICAL;15,18
9087;29/05/2023;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;29/05/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9027;29/05/2023;CONTRIBUIÇÃO SINDICAL;15,18
9058;29/05/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9018;29/05/2023;INSS;530,78
9018;29/05/2023;INSS;716,76
9033;29/05/2023;IRRF;283,25
9024;18/05/2023;SALÁRIO FAMÍLIA;1.076,76
9033;30/06/2023;IRRF;54,96
9034;30/06/2023;ISS;54,96
9027;28/06/2023;CONTRIBUIÇÃO SINDICAL;15,18
9087;28/06/2023;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;28/06/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9027;28/06/2023;CONTRIBUIÇÃO SINDICAL;15,18
9058;28/06/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9018;28/06/2023;INSS;138,20
9018;28/06/2023;INSS;356,40
9018;28/06/2023;INSS;495,00
9018;28/06/2023;INSS;431,78
9018;28/06/2023;INSS;716,76
9033;28/06/2023;IRRF;283,25
9033;31/07/2023;IRRF;54,96
9034;31/07/2023;ISS;54,96
9027;28/07/2023;CONTRIBUIÇÃO SINDICAL;15,18
9087;28/07/2023;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;28/07/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9027;28/07/2023;CONTRIBUIÇÃO SINDICAL;15,18
9058;28/07/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9018;28/07/2023;INSS;138,20
9018;28/07/2023;INSS;356,40
9018;28/07/2023;INSS;495,00
9018;27/07/2023;INSS;431,78
9018;27/07/2023;INSS;716,76
9033;27/07/2023;IRRF;283,25
9033;31/08/2023;IRRF;54,96
9034;31/08/2023;ISS;54,96
9018;29/08/2023;INSS;494,60
9018;29/08/2023;INSS;495,00
9027;29/08/2023;CONTRIBUIÇÃO SINDICAL;15,18
9087;29/08/2023;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;29/08/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9027;29/08/2023;CONTRIBUIÇÃO SINDICAL;15,18
9058;29/08/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9018;29/08/2023;INSS;431,78
9018;29/08/2023;INSS;716,76
9033;29/08/2023;IRRF;283,25
9024;18/08/2023;SALÁRIO FAMÍLIA;1.016,94
9033;20/09/2023;IRRF;61,16
9033;25/09/2023;IRRF;3,84
9033;25/09/2023;IRRF;4,08
9033;29/09/2023;IRRF;54,96
9034;29/09/2023;ISS;54,96
9027;29/09/2023;CONTRIBUIÇÃO SINDICAL;15,18
9087;29/09/2023;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;29/09/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9027;28/09/2023;CONTRIBUIÇÃO SINDICAL;15,18
9058;28/09/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9018;28/09/2023;INSS;138,20
9018;28/09/2023;INSS;356,40
9018;28/09/2023;INSS;495,00
9018;28/09/2023;INSS;431,78
9018;28/09/2023;INSS;716,76
9033;28/09/2023;IRRF;283,25
9033;25/09/2023;IRRF;16,08
9033;26/09/2023;IRRF;23,29
9033;18/10/2023;IRRF;194,39
9033;18/10/2023;IRRF;212,16
9033;17/10/2023;IRRF;15,60
9033;25/10/2023;IRRF;23,76
9033;27/10/2023;IRRF;5,45
9033;31/10/2023;IRRF;54,96
9034;31/10/2023;ISS;54,96
9033;17/10/2023;IRRF;3,84
9033;17/10/2023;IRRF;4,56
9033;17/10/2023;IRRF;62,94
9033;18/10/2023;IRRF;182,36
9033;18/10/2023;IRRF;237,04
9018;30/10/2023;INSS;138,20
9018;30/10/2023;INSS;356,40
9018;30/10/2023;INSS;495,00
9027;30/10/2023;CONTRIBUIÇÃO SINDICAL;15,18
9087;30/10/2023;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;30/10/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9027;30/10/2023;CONTRIBUIÇÃO SINDICAL;15,18
9058;30/10/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9018;30/10/2023;INSS;431,78
9018;30/10/2023;INSS;716,76
9033;30/10/2023;IRRF;283,25
9033;17/11/2023;IRRF;72,00
9033;17/11/2023;IRRF;56,62
9033;17/11/2023;IRRF;76,66
9033;17/11/2023;IRRF;159,70
9033;17/11/2023;IRRF;248,74
9033;17/11/2023;IRRF;269,81
9033;22/11/2023;IRRF;15,84
9033;22/11/2023;IRRF;4,32
9033;27/11/2023;IRRF;23,99
9034;30/11/2023;ISS;54,96
9033;30/11/2023;IRRF;54,96
9033;22/11/2023;IRRF;4,08
9027;28/11/2023;CONTRIBUIÇÃO SINDICAL;15,18
9087;28/11/2023;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;28/11/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9027;28/11/2023;CONTRIBUIÇÃO SINDICAL;15,18
9058;28/11/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9018;28/11/2023;INSS;138,20
9018;28/11/2023;INSS;356,40
9018;28/11/2023;INSS;495,00
9018;28/11/2023;INSS;716,76
9033;28/11/2023;IRRF;283,25
9018;28/11/2023;INSS;431,78
9033;20/12/2023;IRRF;26,37
9018;29/12/2023;INSS;138,20
9018;29/12/2023;INSS;356,40
9018;29/12/2023;INSS;495,00
9027;29/12/2023;CONTRIBUIÇÃO SINDICAL;15,18
9087;29/12/2023;EMPRESTIMO CONSIGNADO BRADESCO;356,76
9058;29/12/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9027;29/12/2023;CONTRIBUIÇÃO SINDICAL;15,18
9058;29/12/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9018;28/12/2023;INSS;431,78
9018;28/12/2023;INSS;716,76
9033;28/12/2023;IRRF;283,25
9033;26/12/2023;IRRF;4,32
9033;28/12/2023;IRRF;54,96
9034;28/12/2023;ISS;54,96
9058;11/12/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9058;11/12/2023;PREVIDÊNCIA PRÓPRIA - FMAS;212,52
9033;21/12/2023;IRRF;4,56
;;;43.650,16
