Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;40.928.408,00;42.831.462,49;39.453.753,92;39.453.753,92
1100.00.0.0.00;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;;;;899.807,00;1.552.631,52;1.567.414,25;1.567.414,25
1110.00.0.0.00;IMPOSTOS;;;;854.700,00;1.468.122,60;1.482.905,33;1.482.905,33
1112.00.0.0.00;IMPOSTOS SOBRE O PATRIMÔNIO;;;;29.000,00;24.615,85;28.056,85;28.056,85
1112.50.0.1.00;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - P;;;;17.000,00;13.555,85;16.876,85;16.876,85
1112.50.0.1.00;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - P;999.000;1.500 0;1.500.00 9999;17.000,00;13.555,85;16.876,85;16.876,85
1112.53.0.1.00;"IMPOSTOS SOBRE TRANSMISSÃO ""INTER VIVOS"" DE BENS IMÓVEIS E D";;;;12.000,00;11.060,00;11.180,00;11.180,00
1112.53.0.1.00;"IMPOSTOS SOBRE TRANSMISSÃO ""INTER VIVOS"" DE BENS IMÓVEIS E D";999.000;1.500 0;1.500.00 9999;12.000,00;11.060,00;11.180,00;11.180,00
1113.00.0.0.00;IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;;;;512.000,00;1.206.375,76;1.206.382,98;1.206.382,98
1113.03.1.1.00;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIP;;;;512.000,00;1.179.921,92;1.179.921,92;1.179.921,92
1113.03.1.1.00;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIP;999.000;1.500 0;1.500.00 9999;512.000,00;1.179.921,92;1.179.921,92;1.179.921,92
1113.03.4.1.00;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - OUTROS RENDIMENTOS;;;;0,00;26.453,84;26.461,06;26.461,06
1113.03.4.1.00;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - OUTROS RENDIMENTOS;999.000;1.500 0;1.500.00 9999;0,00;26.453,84;26.461,06;26.461,06
1114.00.0.0.00;IMPOSTOS SOBRE A PRODUÇÃO E CIRCULAÇÃO DE MERCADORIAS E SERV;;;;313.700,00;237.130,99;248.465,50;248.465,50
1114.51.1.1.00;IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN - PRINCI;;;;313.700,00;237.130,99;248.465,50;248.465,50
1114.51.1.1.00;IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN - PRINCI;999.000;1.500 0;1.500.00 9999;243.700,00;178.782,71;190.117,22;190.117,22
1114.51.1.1.01;IMPOSTO SOBRE SERVIçOS DE QUALQUER NATUREZA - SIMPLES;999.000;1.500 0;1.500.00 9999;70.000,00;58.348,28;58.348,28;58.348,28
1120.00.0.0.00;TAXAS;;;;45.107,00;84.508,92;84.508,92;84.508,92
1121.00.0.0.00;TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA;;;;43.107,00;52.592,90;52.592,90;52.592,90
1121.01.0.1.00;TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - PRINCIPAL;;;;40.107,00;51.748,50;51.748,50;51.748,50
1121.01.0.1.00;TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - PRINCIPAL;999.000;1.500 0;1.500.00 9999;40.107,00;51.748,50;51.748,50;51.748,50
