Extra;Data;Especificação;Arrec. Total
9109;16/01/2025;IRRF - PESSOA JURÍDICA;65,40
9008;28/01/2025;EMPRESTIMO CONSIGNADO CEF;14.344,09
9011;28/01/2025;CONTRIBUIÇÃO SINDICAL - FUNDEB;2.788,34
9079;28/01/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;9.074,50
9009;28/01/2025;I.R.R.F;35.516,27
9055;28/01/2025;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;39.771,71
9008;28/01/2025;EMPRESTIMO CONSIGNADO CEF;962,75
9011;28/01/2025;CONTRIBUIÇÃO SINDICAL - FUNDEB;38,82
9009;28/01/2025;I.R.R.F;918,91
9055;28/01/2025;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;2.462,73
9008;28/01/2025;EMPRESTIMO CONSIGNADO CEF;2.399,01
9011;28/01/2025;CONTRIBUIÇÃO SINDICAL - FUNDEB;823,24
9079;28/01/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;5.781,90
9009;28/01/2025;I.R.R.F;9.678,80
9055;28/01/2025;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;11.290,57
9005;28/01/2025;INSS (FUNDEB 60%);3.150,59
9009;28/01/2025;I.R.R.F;535,02
9011;29/01/2025;CONTRIBUIÇÃO SINDICAL - FUNDEB;414,47
9079;29/01/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;3.151,00
9056;29/01/2025;PREVIDÊNCIA PRÓPRIA - FUNDEB 40%;9.077,24
9008;29/01/2025;EMPRESTIMO CONSIGNADO CEF;4.398,97
9009;29/01/2025;I.R.R.F;27,28
9005;29/01/2025;INSS (FUNDEB 60%);9.515,90
9009;29/01/2025;I.R.R.F;7,15
9109;12/02/2025;IRRF - PESSOA JURÍDICA;15,26
9109;12/02/2025;IRRF - PESSOA JURÍDICA;14,57
9109;12/02/2025;IRRF - PESSOA JURÍDICA;14,64
9109;17/02/2025;IRRF - PESSOA JURÍDICA;16,08
9109;17/02/2025;IRRF - PESSOA JURÍDICA;17,28
9109;17/02/2025;IRRF - PESSOA JURÍDICA;15,12
9109;17/02/2025;IRRF - PESSOA JURÍDICA;17,52
9109;19/02/2025;IRRF - PESSOA JURÍDICA;93,59
9109;20/02/2025;IRRF - PESSOA JURÍDICA;102,27
9109;21/02/2025;IRRF - PESSOA JURÍDICA;15,27
9109;21/02/2025;IRRF - PESSOA JURÍDICA;15,88
9109;21/02/2025;IRRF - PESSOA JURÍDICA;10,34
9005;27/02/2025;INSS (FUNDEB 60%);5.295,51
9009;27/02/2025;I.R.R.F;607,39
9005;27/02/2025;INSS (FUNDEB 60%);139,50
9005;27/02/2025;INSS (FUNDEB 60%);1.185,75
9005;27/02/2025;INSS (FUNDEB 60%);139,50
9008;27/02/2025;EMPRESTIMO CONSIGNADO CEF;13.735,68
9011;27/02/2025;CONTRIBUIÇÃO SINDICAL - FUNDEB;2.878,32
9079;27/02/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;9.612,94
9009;27/02/2025;I.R.R.F;38.275,92
9055;27/02/2025;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;40.578,40
9008;27/02/2025;EMPRESTIMO CONSIGNADO CEF;962,75
9011;27/02/2025;CONTRIBUIÇÃO SINDICAL - FUNDEB;40,64
9009;27/02/2025;I.R.R.F;1.036,03
9055;27/02/2025;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;2.502,81
9008;27/02/2025;EMPRESTIMO CONSIGNADO CEF;2.399,01
9011;27/02/2025;CONTRIBUIÇÃO SINDICAL - FUNDEB;850,08
9079;27/02/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;5.781,90
9009;27/02/2025;I.R.R.F;10.365,31
9055;27/02/2025;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;11.474,36
9005;27/02/2025;INSS (FUNDEB 60%);137,53
9005;27/02/2025;INSS (FUNDEB 60%);12.926,41
9011;27/02/2025;CONTRIBUIÇÃO SINDICAL - FUNDEB;414,47
