Extra;Data;Especificação;Arrec. Total
9020;28/02/2024;INSS;136,82
9022;28/02/2024;EMPRESTIMO CONSIGNADO CEF;1.371,31
9026;28/02/2024;CONTRIBUIÇÃO SINDICAL;256,92
9083;28/02/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;977,34
9059;28/02/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.872,29
9022;02/02/2024;EMPRESTIMO CONSIGNADO CEF;1.327,31
9083;02/02/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;623,99
9026;02/02/2024;CONTRIBUIÇÃO SINDICAL;256,92
9059;02/02/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.408,66
9083;02/02/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;353,35
9059;02/02/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;463,63
9020;02/02/2024;INSS;136,82
9020;27/03/2024;INSS;136,82
9022;27/03/2024;EMPRESTIMO CONSIGNADO CEF;1.371,31
9026;27/03/2024;CONTRIBUIÇÃO SINDICAL;256,92
9083;27/03/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;977,34
9059;27/03/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.872,29
9022;30/04/2024;EMPRESTIMO CONSIGNADO CEF;1.371,31
9026;30/04/2024;CONTRIBUIÇÃO SINDICAL;256,92
9083;30/04/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;977,34
9059;30/04/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.872,29
9021;30/04/2024;I.R.R.F.;31,07
9020;30/04/2024;INSS;136,82
9022;03/06/2024;EMPRESTIMO CONSIGNADO CEF;2.025,62
9026;03/06/2024;CONTRIBUIÇÃO SINDICAL;254,10
9083;03/06/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;977,34
9059;03/06/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.872,29
9021;03/06/2024;I.R.R.F.;31,07
9020;03/06/2024;INSS;181,82
9020;28/06/2024;INSS;181,82
9022;28/06/2024;EMPRESTIMO CONSIGNADO CEF;972,83
9026;28/06/2024;CONTRIBUIÇÃO SINDICAL;213,24
9083;28/06/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;697,35
9059;28/06/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.191,59
9021;28/06/2024;I.R.R.F.;6,95
9022;29/07/2024;EMPRESTIMO CONSIGNADO CEF;972,83
9026;29/07/2024;CONTRIBUIÇÃO SINDICAL;221,70
9083;29/07/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;697,35
9059;29/07/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.191,59
9020;29/07/2024;INSS;181,82
9022;29/08/2024;EMPRESTIMO CONSIGNADO CEF;972,83
9026;29/08/2024;CONTRIBUIÇÃO SINDICAL;221,70
9083;29/08/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;697,35
9059;29/08/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.191,59
9020;29/08/2024;INSS;181,82
9020;26/09/2024;INSS;181,82
9022;26/09/2024;EMPRESTIMO CONSIGNADO CEF;972,83
9026;26/09/2024;CONTRIBUIÇÃO SINDICAL;221,70
9083;26/09/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;697,35
9059;26/09/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.191,59
9020;30/10/2024;INSS;181,82
9022;30/10/2024;EMPRESTIMO CONSIGNADO CEF;633,81
9026;30/10/2024;CONTRIBUIÇÃO SINDICAL;221,70
9083;30/10/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;697,35
9059;30/10/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.191,59
9020;29/11/2024;INSS;181,82
9022;29/11/2024;EMPRESTIMO CONSIGNADO CEF;633,81
9026;29/11/2024;CONTRIBUIÇÃO SINDICAL;221,70
9083;29/11/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;697,35
9059;29/11/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.191,59
9022;28/12/2024;EMPRESTIMO CONSIGNADO CEF;633,81
9026;28/12/2024;CONTRIBUIÇÃO SINDICAL;221,70
9083;28/12/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;697,35
9021;28/12/2024;I.R.R.F.;233,37
9059;28/12/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.191,59
9020;28/12/2024;INSS;181,82
9059;16/12/2024;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.191,59
;;;73.051,45
