Extra;Data;Especificação;Arrec. Total
9030;30/01/2024;CONTRIBUIÇÃO SINDICAL;218,90
9029;30/01/2024;EMPRESTIMO BRADESCO;955,30
9054;30/01/2024;PREVIDÊNCIA PRÓPRIA - ADM;2.273,30
9030;30/01/2024;CONTRIBUIÇÃO SINDICAL;26,89
9029;30/01/2024;EMPRESTIMO BRADESCO;598,04
9054;30/01/2024;PREVIDÊNCIA PRÓPRIA - ADM;1.799,23
9030;30/01/2024;CONTRIBUIÇÃO SINDICAL;28,17
9054;30/01/2024;PREVIDÊNCIA PRÓPRIA - ADM;394,39
9001;30/01/2024;INSS - SEGURADOS;1.395,67
9001;30/01/2024;INSS - SEGURADOS;136,82
9001;30/01/2024;INSS - SEGURADOS;637,77
9001;30/01/2024;INSS - SEGURADOS;348,62
9001;30/01/2024;INSS - SEGURADOS;607,00
9001;30/01/2024;INSS - SEGURADOS;413,01
9001;30/01/2024;INSS - SEGURADOS;2.104,82
9001;30/01/2024;INSS - SEGURADOS;403,20
9001;30/01/2024;INSS - SEGURADOS;137,67
9001;30/01/2024;INSS - SEGURADOS;136,82
9001;30/01/2024;INSS - SEGURADOS;136,82
9001;30/01/2024;INSS - SEGURADOS;136,82
9001;30/01/2024;INSS - SEGURADOS;136,82
9063;03/01/2024;DESPESA A REGULARIZAR;200,00
9030;28/02/2024;CONTRIBUIÇÃO SINDICAL;273,96
9029;28/02/2024;EMPRESTIMO BRADESCO;1.553,34
9054;28/02/2024;PREVIDÊNCIA PRÓPRIA - ADM;4.466,92
9001;28/02/2024;INSS - SEGURADOS;1.258,85
9001;28/02/2024;INSS - SEGURADOS;136,82
9001;28/02/2024;INSS - SEGURADOS;1.244,77
9001;28/02/2024;INSS - SEGURADOS;348,62
9001;28/02/2024;INSS - SEGURADOS;3.694,44
9001;28/03/2024;INSS - SEGURADOS;1.258,85
9001;28/03/2024;INSS - SEGURADOS;136,82
9001;28/03/2024;INSS - SEGURADOS;637,77
9001;28/03/2024;INSS - SEGURADOS;242,72
9001;28/03/2024;INSS - SEGURADOS;607,00
9001;28/03/2024;INSS - SEGURADOS;3.546,61
9001;28/03/2024;INSS - SEGURADOS;136,82
9001;28/03/2024;INSS - SEGURADOS;273,64
9030;28/03/2024;CONTRIBUIÇÃO SINDICAL;273,96
9029;28/03/2024;EMPRESTIMO BRADESCO;1.553,34
9054;28/03/2024;PREVIDÊNCIA PRÓPRIA - ADM;4.466,92
9001;30/04/2024;INSS - SEGURADOS;1.258,85
9001;30/04/2024;INSS - SEGURADOS;181,82
9001;30/04/2024;INSS - SEGURADOS;682,77
9001;30/04/2024;INSS - SEGURADOS;287,72
9001;30/04/2024;INSS - SEGURADOS;652,00
9001;30/04/2024;INSS - SEGURADOS;181,82
9001;30/04/2024;INSS - SEGURADOS;363,64
9054;30/04/2024;PREVIDÊNCIA PRÓPRIA - ADM;315,78
9054;30/04/2024;PREVIDÊNCIA PRÓPRIA - ADM;4.515,22
9030;30/04/2024;CONTRIBUIÇÃO SINDICAL;273,96
9029;30/04/2024;EMPRESTIMO BRADESCO;1.553,34
9001;30/04/2024;INSS - SEGURADOS;3.528,96
9001;29/05/2024;INSS - SEGURADOS;1.258,85
9001;29/05/2024;INSS - SEGURADOS;181,82
9001;29/05/2024;INSS - SEGURADOS;682,77
9001;29/05/2024;INSS - SEGURADOS;287,72
9001;29/05/2024;INSS - SEGURADOS;652,00
9001;29/05/2024;INSS - SEGURADOS;3.622,85
9001;29/05/2024;INSS - SEGURADOS;181,82
9001;29/05/2024;INSS - SEGURADOS;363,64
9054;29/05/2024;PREVIDÊNCIA PRÓPRIA - ADM;315,78
9030;29/05/2024;CONTRIBUIÇÃO SINDICAL;218,90
9029;29/05/2024;EMPRESTIMO BRADESCO;955,30
9054;29/05/2024;PREVIDÊNCIA PRÓPRIA - ADM;2.273,30
9030;29/05/2024;CONTRIBUIÇÃO SINDICAL;26,89
9029;29/05/2024;EMPRESTIMO BRADESCO;598,04
9054;29/05/2024;PREVIDÊNCIA PRÓPRIA - ADM;1.847,53
9030;29/05/2024;CONTRIBUIÇÃO SINDICAL;28,17
