Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;2.052.000,00;2.052.000,00;2.266.602,90;2.266.602,90
1200.00.0.0.00;CONTRIBUIÇÕES;;;;1.822.000,00;1.822.000,00;1.270.209,68;1.270.209,68
1210.00.0.0.00;CONTRIBUIÇÕES SOCIAIS;;;;1.822.000,00;1.822.000,00;1.270.209,68;1.270.209,68
1215.00.0.0.00;CONTRIBUIÇÕES PARA RPPS;;;;1.822.000,00;1.822.000,00;1.270.209,68;1.270.209,68
1215.01.1.1.00;CONTRIB.SERVIDOR CIVIL ATIVO-PRINCIPAL;;;;962.000,00;962.000,00;1.270.209,68;1.270.209,68
1215.01.1.1.00;CONTRIB.SERVIDOR CIVIL ATIVO-PRINCIPAL;999.000;1.800 1111;1.800.03 1111;962.000,00;962.000,00;1.270.209,68;1.270.209,68
1215.01.1.2.00;CONTRIB.SERVIDOR CIVIL ATIVO-MULTAS JUROS;;;;10.000,00;10.000,00;0,00;0,00
1215.01.1.2.00;CONTRIB.SERVIDOR CIVIL ATIVO-MULTAS JUROS;999.000;1.800 1111;1.800.03 1111;10.000,00;10.000,00;0,00;0,00
1215.01.2.1.00;CONTRIB.SERVIDOR CIVIL INATIVO-PRINCIPAL;;;;750.000,00;750.000,00;0,00;0,00
1215.01.2.1.00;CONTRIB.SERVIDOR CIVIL INATIVO-PRINCIPAL;999.000;1.800 1111;1.800.03 1111;750.000,00;750.000,00;0,00;0,00
1215.01.2.2.00;CONTRIB.SERVIDOR CIVIL INATIVO-MULTAS JUROS;;;;5.000,00;5.000,00;0,00;0,00
1215.01.2.2.00;CONTRIB.SERVIDOR CIVIL INATIVO-MULTAS JUROS;999.000;1.800 1111;1.800.03 1111;5.000,00;5.000,00;0,00;0,00
1215.01.3.1.00;CONTRIB.SERVIDOR CIVIL-PENSIONISTAS-PRINCIPAL;;;;30.000,00;30.000,00;0,00;0,00
1215.01.3.1.00;CONTRIB.SERVIDOR CIVIL-PENSIONISTAS-PRINCIPAL;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;0,00;0,00
1215.01.3.2.00;CONTRIB.SERVIDOR CIVIL-PENSIONISTAS-MULTAS JUROS;;;;5.000,00;5.000,00;0,00;0,00
1215.01.3.2.00;CONTRIB.SERVIDOR CIVIL-PENSIONISTAS-MULTAS JUROS;999.000;1.800 1111;1.800.03 1111;5.000,00;5.000,00;0,00;0,00
1215.03.0.1.00;CONTRIB.SERV.CIVIL-PARCELAMENTOS-PRINCIPAL;;;;50.000,00;50.000,00;0,00;0,00
1215.03.0.1.00;CONTRIB.SERV.CIVIL-PARCELAMENTOS-PRINCIPAL;999.000;1.800 1111;1.800.03 1111;50.000,00;50.000,00;0,00;0,00
1215.03.0.2.00;CONTRIB.SERV.CIVIL-PARCELAMENTOS-MULTAS JUROS;;;;10.000,00;10.000,00;0,00;0,00
1215.03.0.2.00;CONTRIB.SERV.CIVIL-PARCELAMENTOS-MULTAS JUROS;999.000;1.800 1111;1.800.03 1111;10.000,00;10.000,00;0,00;0,00
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;150.000,00;150.000,00;996.393,22;996.393,22
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;150.000,00;150.000,00;996.393,22;996.393,22
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;150.000,00;150.000,00;996.393,22;996.393,22
1321.04.0.1.00;REMUNERAÇÃO RECURSOS RPPS-PRINCIPAL;;;;150.000,00;150.000,00;996.393,22;996.393,22
1321.04.0.1.00;REMUNERAÇÃO RECURSOS RPPS-PRINCIPAL;999.000;1.800 1111;1.800.03 1111;150.000,00;150.000,00;996.393,22;996.393,22
1900.00.0.0.00;OUTRAS RECEITAS CORRENTES;;;;80.000,00;80.000,00;0,00;0,00
