Extra;Data;Especificação;Arrec. Total
9085;27/01/2025;SISEMPEM;22,90
9068;27/01/2025;IRRF_FUNDO PREVIDENCIA;17.869,77
9102;27/01/2025;PREVIDENCIA - RPPS;15.117,37
9068;27/01/2025;IRRF_FUNDO PREVIDENCIA;337,76
9102;27/01/2025;PREVIDENCIA - RPPS;353,22
9068;20/02/2025;IRRF_FUNDO PREVIDENCIA;2.882,02
9102;20/02/2025;PREVIDENCIA - RPPS;1.760,16
9068;26/02/2025;IRRF_FUNDO PREVIDENCIA;337,76
9102;26/02/2025;PREVIDENCIA - RPPS;353,22
9085;26/02/2025;SISEMPEM;24,74
9100;26/02/2025;IRRF-REINF;20.751,67
9102;26/02/2025;PREVIDENCIA - RPPS;16.877,45
9085;25/03/2025;SISEMPEM;24,74
9068;25/03/2025;IRRF_FUNDO PREVIDENCIA;20.751,67
9102;25/03/2025;PREVIDENCIA - RPPS;16.877,45
9068;25/03/2025;IRRF_FUNDO PREVIDENCIA;337,76
9102;25/03/2025;PREVIDENCIA - RPPS;353,22
9100;14/03/2025;IRRF-REINF;4,80
9100;14/03/2025;IRRF-REINF;4,80
9085;24/04/2025;SISEMPEM;24,74
9068;24/04/2025;IRRF_FUNDO PREVIDENCIA;20.751,67
9102;24/04/2025;PREVIDENCIA - RPPS;16.877,45
9068;24/04/2025;IRRF_FUNDO PREVIDENCIA;337,76
9102;24/04/2025;PREVIDENCIA - RPPS;353,22
9085;26/05/2025;SISEMPEM;24,74
9110;26/05/2025;CONSIGNADO BRADESCO;2.178,90
9068;26/05/2025;IRRF_FUNDO PREVIDENCIA;20.471,63
9102;26/05/2025;PREVIDENCIA - RPPS;16.877,45
9068;26/05/2025;IRRF_FUNDO PREVIDENCIA;325,04
9102;26/05/2025;PREVIDENCIA - RPPS;353,22
9100;28/05/2025;IRRF-REINF;4,80
9100;28/05/2025;IRRF-REINF;4,80
9085;24/06/2025;SISEMPEM;24,74
9110;24/06/2025;CONSIGNADO BRADESCO;2.178,90
9068;24/06/2025;IRRF_FUNDO PREVIDENCIA;20.471,63
9102;24/06/2025;PREVIDENCIA - RPPS;16.877,45
9068;24/06/2025;IRRF_FUNDO PREVIDENCIA;325,04
9102;24/06/2025;PREVIDENCIA - RPPS;353,22
9100;30/06/2025;IRRF-REINF;4,80
9085;23/07/2025;SISEMPEM;24,74
9110;23/07/2025;CONSIGNADO BRADESCO;3.066,52
9068;23/07/2025;IRRF_FUNDO PREVIDENCIA;20.471,63
9102;23/07/2025;PREVIDENCIA - RPPS;16.877,45
9068;23/07/2025;IRRF_FUNDO PREVIDENCIA;325,04
9102;23/07/2025;PREVIDENCIA - RPPS;353,22
9085;25/08/2025;SISEMPEM;24,74
9110;25/08/2025;CONSIGNADO BRADESCO;3.066,52
9068;25/08/2025;IRRF_FUNDO PREVIDENCIA;20.471,63
9102;25/08/2025;PREVIDENCIA - RPPS;16.877,45
9068;25/08/2025;IRRF_FUNDO PREVIDENCIA;325,04
9102;25/08/2025;PREVIDENCIA - RPPS;353,22
9100;01/08/2025;IRRF-REINF;5,99
9085;24/09/2025;SISEMPEM;24,74
9110;24/09/2025;CONSIGNADO BRADESCO;5.827,16
9068;24/09/2025;IRRF_FUNDO PREVIDENCIA;20.471,63
9102;24/09/2025;PREVIDENCIA - RPPS;16.877,45
9068;24/09/2025;IRRF_FUNDO PREVIDENCIA;325,04
9102;24/09/2025;PREVIDENCIA - RPPS;353,22
9085;24/10/2025;SISEMPEM;49,48
9110;24/10/2025;CONSIGNADO BRADESCO;5.827,16
9068;24/10/2025;IRRF_FUNDO PREVIDENCIA;20.471,63
9102;24/10/2025;PREVIDENCIA - RPPS;16.877,45
9068;24/10/2025;IRRF_FUNDO PREVIDENCIA;325,04
9102;24/10/2025;PREVIDENCIA - RPPS;353,22
9068;24/11/2025;IRRF_FUNDO PREVIDENCIA;325,04
9102;24/11/2025;PREVIDENCIA - RPPS;353,22
9085;24/11/2025;SISEMPEM;49,48
9110;24/11/2025;CONSIGNADO BRADESCO;6.097,88
9068;24/11/2025;IRRF_FUNDO PREVIDENCIA;20.471,63
9102;24/11/2025;PREVIDENCIA - RPPS;16.925,27
9068;18/12/2025;IRRF_FUNDO PREVIDENCIA;325,04
9102;18/12/2025;PREVIDENCIA - RPPS;353,22
9085;18/12/2025;SISEMPEM;49,48
9110;18/12/2025;CONSIGNADO BRADESCO;6.097,88
9068;18/12/2025;IRRF_FUNDO PREVIDENCIA;20.471,63
9102;18/12/2025;PREVIDENCIA - RPPS;16.925,27
9068;18/12/2025;IRRF_FUNDO PREVIDENCIA;325,04
9102;18/12/2025;PREVIDENCIA - RPPS;353,22
9068;18/12/2025;IRRF_FUNDO PREVIDENCIA;20.471,63
9102;18/12/2025;PREVIDENCIA - RPPS;16.877,45
;;;530.362,47
