Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;4.545.015,00;5.172.986,50;4.124.877,89;4.124.877,89
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;28.000,00;31.315,46;22.120,52;22.120,52
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;28.000,00;31.315,46;22.120,52;22.120,52
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;28.000,00;31.315,46;22.120,52;22.120,52
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;28.000,00;31.315,46;22.120,52;22.120,52
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;999.000;1.600 0;1.600.02 9999;20.000,00;20.000,00;11.340,02;11.340,02
1321.01.0.1.09;REMUNERAçãO DE DEPóSITOS BANCáRIOS - FUS;300.000;1.500 0;1.500.00 9999;4.200,00;4.551,40;4.551,40;4.551,40
1321.01.0.1.10;REMUNERAçãO DE DEPóSITOS BANCáRIOS - SAÚDE ESTADO;999.000;1.621 0;1.621.02 9999;3.800,00;3.800,00;3.265,04;3.265,04
1321.01.0.1.14;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - INVESTIMENTO;999.000;1.601 0;1.601.02 9999;0,00;1.842,06;1.842,06;1.842,06
1321.01.0.1.18;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PISO ENFERMAGEM;999.000;1.605 0;1.605.02 9999;0,00;1.122,00;1.122,00;1.122,00
1700.00.0.0.00;TRANSFERÊNCIAS CORRENTES;;;;4.517.015,00;5.141.671,04;4.102.757,37;4.102.757,37
1710.00.0.0.00;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;;;;4.267.015,00;4.491.320,96;3.452.407,29;3.452.407,29
1713.00.0.0.00;TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE – SUS ;;;;4.267.015,00;4.491.320,96;3.452.407,29;3.452.407,29
1713.50.1.1.00;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES;;;;3.243.400,00;3.456.726,74;3.231.436,07;3.231.436,07
1713.50.1.1.00;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES;999.000;1.600 0;1.600.02 9999;2.641.400,00;2.585.549,24;1.463.714,57;1.463.714,57
1713.50.1.1.01;TRANSFERêNCIAS DE REC. BLOCO DE MANUT. AT.BÁSICA - COVID 19;999.000;1.602 0;1.602.02 9999;22.000,00;22.000,00;0,00;0,00
1713.50.1.1.02;TRANSF. DE RECURSOS DO BL. DE MANUT. DA ATENÇÃO BÁSICA - ACS;999.000;1.604 0;1.604.02 9999;580.000,00;580.000,00;398.544,00;398.544,00
1713.50.1.1.03;TRANSFERÊNCIAS DE RECURSOS DO PISO DA ENFERMAGEM;999.000;1.605 0;1.605.02 9999;0,00;269.177,50;269.177,50;269.177,50
1713.50.1.1.04;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS EMENDA;999.000;1.600 3110;1.600.02 7000;0,00;0,00;500.000,00;500.000,00
1713.50.1.1.05;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO EMENDA BAN;999.000;1.600 3120;1.600.02 3120;0,00;0,00;600.000,00;600.000,00
1713.50.3.1.00;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES;;;;140.500,00;151.479,22;151.479,22;151.479,22
1713.50.3.1.00;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES;999.000;1.600 0;1.600.02 9999;140.500,00;151.479,22;56.475,22;56.475,22
1713.50.3.1.00;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES;999.000;1.604 0;1.604.02 9999;0,00;0,00;95.004,00;95.004,00
1713.50.4.1.00;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES;;;;70.500,00;70.500,00;69.492,00;69.492,00
1713.50.4.1.00;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES;999.000;1.600 0;1.600.02 9999;70.500,00;70.500,00;69.492,00;69.492,00
1713.50.9.1.00;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES;;;;812.615,00;812.615,00;0,00;0,00
1713.50.9.1.00;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES;999.000;1.600 0;1.600.02 9999;812.615,00;812.615,00;0,00;0,00
1720.00.0.0.00;TRANSFERÊNCIAS DOS ESTADOS E DO DISTRITO FEDERAL E DE SUAS E;;;;250.000,00;650.350,08;650.350,08;650.350,08
1723.00.0.0.00;TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE – SUS;;;;250.000,00;650.350,08;650.350,08;650.350,08
1723.50.0.1.00;TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE – SUS -;;;;250.000,00;650.350,08;650.350,08;650.350,08
1723.50.0.1.00;TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE – SUS -;999.000;1.621 0;1.621.02 9999;250.000,00;650.350,08;650.350,08;650.350,08
2000.00.0.0.00;RECEITAS DE CAPITAL;;;;900.000,00;900.000,00;24.000,00;24.000,00
2400.00.0.0.00;TRANSFERÊNCIAS DE CAPITAL;;;;900.000,00;900.000,00;24.000,00;24.000,00
2410.00.0.0.00;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;;;;800.000,00;800.000,00;24.000,00;24.000,00
2411.00.0.0.00;TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS;;;;500.000,00;500.000,00;24.000,00;24.000,00
2411.51.1.1.00;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE ESTRUTURAÇÃO DA REDE;;;;500.000,00;500.000,00;24.000,00;24.000,00
2411.51.1.1.00;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE ESTRUTURAÇÃO DA REDE;999.000;1.601 0;1.601.02 9999;500.000,00;500.000,00;24.000,00;24.000,00
2414.00.0.0.00;TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO E DE SUAS ENTIDADES ;;;;300.000,00;300.000,00;0,00;0,00
2414.50.0.1.00;TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO PARA O SISTEMA ÚNICO DE;;;;300.000,00;300.000,00;0,00;0,00
2414.50.0.1.00;TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO PARA O SISTEMA ÚNICO DE;999.000;1.631 0;1.631.02 9999;300.000,00;300.000,00;0,00;0,00
2420.00.0.0.00;TRANSFERÊNCIAS DOS ESTADOS E DO DISTRITO FEDERAL E DE SUAS E;;;;100.000,00;100.000,00;0,00;0,00
2422.00.0.0.00;TRANSFERÊNCIAS DE CONVÊNIOS DOS ESTADOS E DF E DE SUAS ENTID;;;;100.000,00;100.000,00;0,00;0,00
2422.50.0.1.00;TRANSFERÊNCIAS DE CONVÊNIOS DOS ESTADOS PARA O SISTEMA ÚNICO;;;;100.000,00;100.000,00;0,00;0,00
2422.50.0.1.00;TRANSFERÊNCIAS DE CONVÊNIOS DOS ESTADOS PARA O SISTEMA ÚNICO;999.000;1.632 0;1.632.02 9999;100.000,00;100.000,00;0,00;0,00
