Extra;Data;Especificação;Arrec. Total
9003;30/01/2024;IRRF;20,40
9003;05/02/2024;IRRF;112,69
9003;05/02/2024;IRRF;114,32
9003;05/02/2024;IRRF;118,34
9003;05/02/2024;IRRF;112,39
9003;05/02/2024;IRRF;107,42
9003;05/02/2024;IRRF;112,45
9003;05/02/2024;IRRF;73,34
9025;30/01/2024;CONTRIBUIÇÃO SINDICAL;51,54
9003;30/01/2024;IRRF;618,34
9057;30/01/2024;PREVIDÊNCIA PRÓPRIA - FMS;1.950,77
9057;30/01/2024;PREVIDÊNCIA PRÓPRIA - FMS;197,68
9014;30/01/2024;INSS SAÚDE;2.117,36
9003;30/01/2024;IRRF;1.278,56
9014;30/01/2024;INSS SAÚDE;2.973,76
9003;30/01/2024;IRRF;213,90
9014;31/01/2024;INSS SAÚDE;777,20
9003;31/01/2024;IRRF;712,48
9003;31/01/2024;IRRF;635,36
9057;31/01/2024;PREVIDÊNCIA PRÓPRIA - FMS;927,77
9003;31/01/2024;IRRF;367,17
9057;31/01/2024;PREVIDÊNCIA PRÓPRIA - FMS;463,89
9003;31/01/2024;IRRF;262,65
9057;31/01/2024;PREVIDÊNCIA PRÓPRIA - FMS;463,88
9003;14/02/2024;IRRF;64,97
9003;14/02/2024;IRRF;10,87
9014;31/01/2024;INSS SAÚDE;3.049,27
9003;31/01/2024;IRRF;5.741,59
9003;31/01/2024;IRRF;1.650,36
9057;31/01/2024;PREVIDÊNCIA PRÓPRIA - FMS;1.855,56
9064;31/01/2024;DESPESA A REGULARIZAR;360,00
9003;08/01/2024;IRRF;59,99
9003;08/01/2024;IRRF;18,96
9003;08/01/2024;IRRF;17,04
9003;08/01/2024;IRRF;16,08
9003;08/01/2024;IRRF;15,12
9003;08/01/2024;IRRF;57,38
9003;08/01/2024;IRRF;81,96
9003;08/01/2024;IRRF;60,77
9003;08/01/2024;IRRF;40,70
9003;08/01/2024;IRRF;56,58
9003;08/01/2024;IRRF;96,63
9003;08/01/2024;IRRF;83,52
9003;08/01/2024;IRRF;100,42
9003;08/01/2024;IRRF;73,82
9003;08/01/2024;IRRF;62,95
9003;08/01/2024;IRRF;70,88
9003;08/01/2024;IRRF;67,90
9003;08/01/2024;IRRF;68,63
9003;08/01/2024;IRRF;76,80
9003;08/01/2024;IRRF;75,38
9003;08/01/2024;IRRF;92,09
9003;08/01/2024;IRRF;88,27
9003;10/01/2024;IRRF;14,44
